joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
-0.006700,0.001325,-0.005700,-0.012525,-0.009200,-0.006750,-0.013375,-0.005500,0.007775,0.001850,0.000125,0.060616,0.060616,-0.005100,0.003600,0.117517,-0.117517,0.009075,0.003100,-0.025099,0.025099,-0.348273,-0.348273,-0.040774,0.040774,-0.261117,-0.261117,0.003025,0.003025
-0.002950,-0.005325,-0.007375,-0.009500,-0.007075,-0.003825,-0.006250,-0.005925,0.008975,-0.001675,-0.000125,0.051952,0.051952,-0.004125,0.007175,0.107927,-0.107927,0.007775,-0.001125,-0.017167,0.017167,-0.311888,-0.311888,-0.036142,0.036142,-0.214179,-0.214179,0.005866,0.005866
0.002125,-0.007325,-0.006550,-0.008375,-0.005375,-0.003875,-0.005275,-0.003500,0.009000,-0.010075,-0.002700,0.043799,0.043799,-0.003100,0.006825,0.100037,-0.100037,0.005950,-0.005025,-0.009275,0.009275,-0.277053,-0.277053,-0.030734,0.030734,-0.168558,-0.168558,0.009184,0.009184
0.004425,-0.011275,-0.006300,-0.007925,-0.003600,-0.003425,-0.000300,0.004700,0.009450,-0.012450,-0.000575,0.036719,0.036719,0.002400,0.006700,0.093728,-0.093728,0.005100,-0.009250,-0.001457,0.001457,-0.244546,-0.244546,-0.025109,0.025109,-0.126014,-0.126014,0.012805,0.012805
0.002825,-0.015175,-0.006750,-0.008425,-0.002625,-0.002700,0.006175,0.014575,0.010125,-0.007550,0.005175,0.031205,0.031205,0.009575,0.006825,0.088683,-0.088683,0.005675,-0.011700,0.006197,-0.006197,-0.214890,-0.214890,-0.019867,0.019867,-0.087794,-0.087794,0.016502,0.016502
0.000325,-0.021000,-0.003675,-0.005375,0.000575,-0.002425,0.014250,0.024625,0.004875,-0.015350,0.006600,0.027493,0.027493,0.013250,0.010125,0.084474,-0.084474,0.006225,-0.011850,0.013562,-0.013562,-0.188266,-0.188266,-0.015594,0.015594,-0.054611,-0.054611,0.019957,0.019957
-0.003100,-0.026225,-0.001150,-0.002400,0.002750,-0.002175,0.019675,0.029525,0.001025,-0.021125,0.006875,0.025774,0.025774,0.014125,0.012350,0.080747,-0.080747,0.007150,-0.010325,0.020410,-0.020410,-0.164931,-0.164931,-0.012758,0.012758,-0.026868,-0.026868,0.022791,0.022791
-0.007450,-0.028250,-0.003175,-0.003150,0.000625,-0.001575,0.018325,0.023850,0.005925,-0.010125,0.009225,0.026289,0.026289,0.012825,0.009225,0.077293,-0.077293,0.008875,-0.007625,0.026400,-0.026400,-0.145275,-0.145275,-0.011589,0.011589,-0.004755,-0.004755,0.024648,0.024648
-0.012175,-0.029575,-0.004500,-0.003825,-0.001400,-0.002625,0.015650,0.023150,0.008975,-0.007225,0.007400,0.029006,0.029006,0.012450,0.006675,0.074000,-0.074000,0.010500,-0.007775,0.031219,-0.031219,-0.129378,-0.129378,-0.011980,0.011980,0.011902,0.011902,0.025292,0.025292
-0.014875,-0.029525,-0.004550,-0.004075,-0.002325,-0.004750,0.012975,0.027800,0.008650,-0.013850,0.002250,0.033337,0.033337,0.013200,0.005975,0.070828,-0.070828,0.011250,-0.010700,0.034689,-0.034689,-0.116820,-0.116820,-0.013476,0.013476,0.023695,0.023695,0.024674,0.024674
-0.016500,-0.026575,-0.006550,-0.004850,-0.001275,-0.004925,0.011025,0.030050,0.009575,-0.011475,0.004375,0.038374,0.038374,0.009925,0.001450,0.067839,-0.067839,0.006650,-0.011975,0.036698,-0.036698,-0.106996,-0.106996,-0.015366,0.015366,0.031438,0.031438,0.022938,0.022938
-0.015325,-0.024325,-0.008125,-0.004450,0.001900,-0.004675,0.010450,0.031050,0.010925,-0.006275,0.007150,0.043376,0.043376,0.005750,0.000375,0.065181,-0.065181,0.000775,-0.012100,0.037082,-0.037082,-0.099544,-0.099544,-0.016875,0.016875,0.035885,0.035885,0.020380,0.020380
-0.009575,-0.026375,-0.006975,-0.001200,0.007250,-0.005550,0.011925,0.031950,0.011825,-0.004375,0.003850,0.047902,0.047902,0.003800,0.009975,0.063008,-0.063008,-0.002225,-0.011575,0.035664,-0.035664,-0.094402,-0.094402,-0.017395,0.017395,0.037594,0.037594,0.017378,0.017378
-0.003425,-0.026800,-0.005425,0.003150,0.009550,-0.006525,0.019900,0.031075,0.012325,-0.008125,0.000875,0.051714,0.051714,0.002975,0.014325,0.061422,-0.061422,-0.003175,-0.007925,0.032392,-0.032392,-0.091724,-0.091724,-0.016641,0.016641,0.036903,0.036903,0.014335,0.014335
0.000025,-0.025400,-0.004250,0.006475,0.007675,-0.007075,0.030425,0.028900,0.012200,-0.015675,-0.000250,0.054768,0.054768,0.003650,0.011325,0.060436,-0.060436,-0.001600,-0.002925,0.027396,-0.027396,-0.091760,-0.091760,-0.014694,0.014694,0.033987,0.033987,0.011632,0.011632
0.000050,-0.025650,-0.006375,0.008425,0.009425,-0.005550,0.033725,0.028550,0.011300,-0.015325,0.001325,0.057071,0.057071,0.004925,0.010125,0.059934,-0.059934,-0.002250,-0.003925,0.021021,-0.021021,-0.094466,-0.094466,-0.011908,0.011908,0.029093,0.029093,0.009598,0.009598
-0.001625,-0.026550,-0.008275,0.008875,0.012025,-0.004175,0.032250,0.028825,0.010675,-0.013300,0.001725,0.058483,0.058483,0.006275,0.010350,0.059677,-0.059677,-0.003100,-0.006125,0.013820,-0.013820,-0.099213,-0.099213,-0.008781,0.008781,0.022759,0.022759,0.008464,0.008464
-0.003300,-0.027075,-0.006375,0.007800,0.012725,-0.005250,0.028475,0.028650,0.011450,-0.015850,-0.002850,0.058818,0.058818,0.007100,0.011775,0.059466,-0.059466,-0.002100,-0.004725,0.006409,-0.006409,-0.105168,-0.105168,-0.005807,0.005807,0.015667,0.015667,0.008313,0.008313
-0.005925,-0.025425,-0.008275,0.007350,0.012800,-0.007625,0.023825,0.027050,0.013250,-0.023175,-0.007275,0.058091,0.058091,0.010325,0.011100,0.059297,-0.059297,-0.003250,-0.003625,-0.000716,0.000716,-0.111905,-0.111905,-0.003377,0.003377,0.008301,0.008301,0.009027,0.009027
-0.008250,-0.022425,-0.013025,0.007725,0.012175,-0.010100,0.020650,0.024775,0.015100,-0.031600,-0.009325,0.056627,0.056627,0.014375,0.008625,0.059339,-0.059339,-0.005975,-0.003325,-0.007270,0.007270,-0.119511,-0.119511,-0.001691,0.001691,0.000772,0.000772,0.010285,0.010285
-0.007900,-0.025125,-0.013775,0.007625,0.012000,-0.009775,0.017550,0.015975,0.019575,-0.030400,-0.009525,0.055019,0.055019,0.013600,0.012475,0.059775,-0.059775,-0.005500,-0.003825,-0.013167,0.013167,-0.128263,-0.128263,-0.000707,0.000707,-0.007155,-0.007155,0.011609,0.011609
-0.008375,-0.029375,-0.012575,0.006825,0.011800,-0.008475,0.015800,0.009550,0.024000,-0.028600,-0.009150,0.053905,0.053905,0.014425,0.016800,0.060674,-0.060674,-0.004275,-0.004425,-0.018420,0.018420,-0.138249,-0.138249,-0.000156,0.000156,-0.015873,-0.015873,0.012464,0.012464
-0.013200,-0.030950,-0.011500,0.005100,0.011025,-0.008050,0.016650,0.014400,0.025675,-0.035175,-0.009475,0.053541,0.053541,0.023375,0.015750,0.061969,-0.061969,-0.004775,-0.004300,-0.022974,0.022974,-0.149170,-0.149170,0.000363,-0.000363,-0.025648,-0.025648,0.012381,0.012381
-0.021150,-0.033850,-0.010275,0.003500,0.009075,-0.008050,0.009800,0.015150,0.027925,-0.037200,-0.013500,0.053683,0.053683,0.030050,0.019350,0.063536,-0.063536,-0.003675,-0.004000,-0.026674,0.026674,-0.160516,-0.160516,0.001205,-0.001205,-0.036459,-0.036459,0.011057,0.011057
-0.028275,-0.036600,-0.009475,0.002850,0.006900,-0.008475,-0.001300,0.011375,0.029650,-0.033700,-0.019175,0.053998,0.053998,0.031100,0.025750,0.065305,-0.065305,-0.001525,-0.003675,-0.029422,0.029422,-0.172050,-0.172050,0.002528,-0.002528,-0.048131,-0.048131,0.008420,0.008420
-0.036125,-0.045275,-0.005225,0.001250,0.005000,-0.009550,-0.006750,0.006475,0.032075,-0.027650,-0.020450,0.054382,0.054382,0.036275,0.029475,0.067305,-0.067305,0.000300,-0.003975,-0.031282,0.031282,-0.184023,-0.184023,0.004225,-0.004225,-0.060503,-0.060503,0.004633,0.004633
-0.045475,-0.055150,-0.000900,-0.000725,0.002975,-0.010100,-0.007875,0.003725,0.036225,-0.020725,-0.018900,0.054736,0.054736,0.043725,0.031525,0.069590,-0.069590,0.002925,-0.004175,-0.032370,0.032370,-0.196765,-0.196765,0.005973,-0.005973,-0.073318,-0.073318,0.000059,0.000059
-0.057050,-0.061450,0.000175,-0.002375,0.000325,-0.008975,-0.006000,0.006350,0.043225,-0.014650,-0.015950,0.054704,0.054704,0.051625,0.032850,0.072147,-0.072147,0.007475,-0.003550,-0.032741,0.032741,-0.210133,-0.210133,0.007379,-0.007379,-0.086013,-0.086013,-0.004820,-0.004820
-0.068475,-0.069725,-0.000925,-0.004325,-0.002575,-0.008025,-0.003625,0.007725,0.051075,-0.012125,-0.018350,0.053876,0.053876,0.057425,0.038075,0.074945,-0.074945,0.011625,-0.001975,-0.032480,0.032480,-0.223616,-0.223616,0.008159,-0.008159,-0.097866,-0.097866,-0.009514,-0.009514
-0.074100,-0.075800,-0.003675,-0.005625,-0.004225,-0.007650,-0.001925,0.007175,0.055850,-0.014450,-0.024950,0.052165,0.052165,0.058250,0.044575,0.078093,-0.078093,0.013275,-0.000200,-0.031867,0.031867,-0.236974,-0.236974,0.008247,-0.008247,-0.108392,-0.108392,-0.013649,-0.013649
-0.085025,-0.085575,-0.002700,-0.009200,-0.006675,-0.009150,-0.002800,0.005550,0.064200,-0.012825,-0.017575,0.049671,0.049671,0.060450,0.043800,0.081877,-0.081877,0.017900,-0.002600,-0.031341,0.031341,-0.250407,-0.250407,0.007769,-0.007769,-0.117486,-0.117486,-0.017060,-0.017060
-0.096650,-0.096250,-0.002125,-0.013650,-0.008875,-0.010525,-0.004975,0.004250,0.073225,-0.013550,-0.011175,0.046191,0.046191,0.063650,0.045125,0.086590,-0.086590,0.021175,-0.006350,-0.031286,0.031286,-0.264003,-0.264003,0.006930,-0.006930,-0.125196,-0.125196,-0.019835,-0.019835
