body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
0.002096,0.000847,0.017029,-0.008475,-0.024523,0.015525,-0.005695,-0.015958,-0.015096,0.005687,-0.013006,-0.015212,-0.007183,0.012630,0.015715,-0.008661,-0.004166,0.012125,-0.008590,-0.010694,0.012534,-0.009521,-0.007680,0.006201,0.170663,0.076772,0.053926,-0.131185,-0.309901,-0.135195,-0.435345,-0.577124,-0.279346,-0.183054,0.089548,-0.041855,0.089738,-0.317472,0.148710,0.373584,-0.605953,0.293371
0.001973,0.002677,0.022884,-0.007900,-0.028970,0.021417,-0.006252,-0.017876,-0.004940,0.005187,-0.015068,-0.005064,-0.005856,0.016010,0.021802,-0.007993,0.001421,0.024025,-0.004181,-0.006374,0.024569,-0.010050,-0.002774,0.010739,0.159391,0.075274,0.054897,-0.126553,-0.290088,-0.121005,-0.424596,-0.545772,-0.258657,-0.173357,0.087244,-0.033755,0.085214,-0.297288,0.143648,0.363921,-0.574201,0.280927
0.002174,0.002692,0.018586,-0.008556,-0.021386,0.017057,-0.007454,-0.010722,-0.004957,0.004411,-0.013687,-0.005528,-0.006439,0.012595,0.017365,-0.008636,-0.001589,0.020308,-0.001199,-0.003889,0.020563,-0.009876,-0.000445,0.007986,0.147049,0.070811,0.048284,-0.120257,-0.270086,-0.112462,-0.402357,-0.506840,-0.239442,-0.161224,0.081831,-0.032650,0.080670,-0.276852,0.129635,0.344998,-0.533832,0.255813
0.002203,0.001913,0.012084,-0.010337,-0.013673,0.010380,-0.009178,-0.005194,-0.008978,0.002538,-0.010922,-0.009750,-0.007443,0.009411,0.010693,-0.008747,-0.000111,0.011621,-0.000174,0.000488,0.011710,-0.008956,0.003174,0.004392,0.134809,0.067132,0.040677,-0.112091,-0.247290,-0.103750,-0.370627,-0.459880,-0.216558,-0.147727,0.077187,-0.032222,0.075818,-0.253574,0.113742,0.318405,-0.484253,0.226605
0.002070,0.000832,0.006578,-0.012346,-0.009638,0.004668,-0.010568,-0.003984,-0.014970,0.000438,-0.008083,-0.015595,-0.008343,0.008151,0.005074,-0.008249,0.005159,0.002211,-0.001635,0.004655,0.002340,-0.007724,0.006374,0.001679,0.123311,0.062783,0.034004,-0.102434,-0.224436,-0.093692,-0.332148,-0.409864,-0.189908,-0.134353,0.071927,-0.030958,0.070099,-0.230179,0.098245,0.285715,-0.430489,0.196935
0.001458,0.001277,0.007572,-0.010939,-0.005464,0.005945,-0.009651,-0.002226,-0.007100,0.000287,-0.005282,-0.007613,-0.007647,0.002573,0.006220,-0.006818,0.002258,0.000791,-0.003278,0.005424,0.000643,-0.004871,0.009329,0.001695,0.114646,0.058157,0.030263,-0.089963,-0.202093,-0.080776,-0.287754,-0.359232,-0.159106,-0.120563,0.066490,-0.027156,0.064781,-0.207232,0.085309,0.250200,-0.375201,0.169950
0.000646,0.002473,0.008317,-0.008765,-0.000509,0.007096,-0.007631,-0.001473,0.000799,0.000831,-0.003855,0.000380,-0.006328,-0.002875,0.007234,-0.005469,-0.003472,0.001401,-0.005655,0.003774,0.000939,-0.002677,0.011631,0.000830,0.106923,0.052937,0.025911,-0.077019,-0.181122,-0.068697,-0.241635,-0.310244,-0.128774,-0.109020,0.060588,-0.024502,0.057595,-0.185589,0.071440,0.211334,-0.320922,0.142824
-0.000181,0.003693,0.001961,-0.008498,0.005789,0.000917,-0.005731,-0.003467,-0.005082,0.000734,-0.005235,-0.005397,-0.005465,-0.003649,0.001116,-0.005298,-0.006602,-0.002170,-0.009396,0.000798,-0.002700,-0.003573,0.012872,-0.004703,0.097817,0.046995,0.017237,-0.066328,-0.162133,-0.061287,-0.198175,-0.264612,-0.103470,-0.102240,0.054099,-0.026859,0.046398,-0.165880,0.052889,0.168587,-0.269635,0.112233
-0.000135,0.005308,-0.002283,-0.008016,0.009705,-0.003253,-0.005375,-0.002398,-0.004532,-0.000891,0.001016,-0.004402,-0.003645,-0.005979,-0.002893,-0.004414,-0.006172,0.001775,-0.012718,0.001646,0.001157,-0.003066,0.014919,-0.008689,0.091733,0.042753,0.010591,-0.053952,-0.143281,-0.052438,-0.154939,-0.221358,-0.077663,-0.095606,0.049428,-0.028149,0.036245,-0.146291,0.035991,0.128502,-0.220620,0.084785
0.000762,0.006509,-0.002219,-0.007608,0.009305,-0.003261,-0.006801,0.001288,0.002235,-0.003255,0.011816,0.002923,-0.001768,-0.008674,-0.002711,-0.003255,-0.002384,0.011340,-0.013972,0.005871,0.010659,-0.001409,0.016773,-0.009059,0.088128,0.039710,0.008131,-0.040749,-0.125424,-0.040219,-0.113991,-0.181829,-0.049828,-0.089044,0.046059,-0.026405,0.027492,-0.127721,0.022953,0.092667,-0.175521,0.062690
0.000675,0.009681,-0.008209,-0.004658,0.009988,-0.008883,-0.003226,-0.006491,0.003965,0.000088,0.007736,0.004934,0.001332,-0.011317,-0.008268,-0.001464,-0.002810,0.015602,-0.011906,0.008727,0.014718,-0.001484,0.014666,-0.011954,0.083706,0.034365,0.003740,-0.030111,-0.112166,-0.030933,-0.079550,-0.149733,-0.026561,-0.085007,0.040453,-0.027785,0.017787,-0.113804,0.007797,0.059648,-0.138377,0.039686
0.000300,0.012554,-0.015154,-0.002069,0.009447,-0.015477,-0.000101,-0.013236,0.002271,0.003933,0.002039,0.003295,0.003124,-0.013662,-0.014925,-0.000370,-0.004490,0.013756,-0.009017,0.009053,0.012771,-0.001809,0.013666,-0.016357,0.079612,0.032000,-0.001562,-0.021031,-0.098358,-0.023846,-0.051148,-0.119848,-0.007412,-0.081660,0.037863,-0.031281,0.009102,-0.099423,-0.008179,0.032077,-0.104331,0.016669
0.000281,0.013013,-0.017953,-0.002817,0.005555,-0.018400,-0.002980,-0.006261,-0.001117,0.003012,0.008110,-0.000218,0.001003,-0.015234,-0.018054,-0.001355,-0.004191,0.004890,-0.007728,0.005913,0.004157,-0.000999,0.019015,-0.021181,0.077039,0.038099,-0.006646,-0.012524,-0.078715,-0.018262,-0.028024,-0.086772,0.008007,-0.077401,0.043770,-0.035852,0.003210,-0.079318,-0.023492,0.012065,-0.068313,-0.005213
0.001035,0.013766,-0.018442,-0.002719,0.001582,-0.019005,-0.003155,-0.007121,-0.004133,0.004504,0.007227,-0.003285,-0.000250,-0.015811,-0.018854,-0.002746,-0.006629,0.003510,-0.009598,0.000968,0.002929,-0.001148,0.022865,-0.023027,0.073780,0.044805,-0.008136,-0.006799,-0.061079,-0.011139,-0.012146,-0.058188,0.022516,-0.074215,0.050291,-0.038074,-0.001837,-0.061339,-0.034386,-0.002494,-0.038185,-0.022406
0.002210,0.014411,-0.016277,-0.001788,-0.000472,-0.016890,-0.000507,-0.015348,-0.005176,0.007729,-0.000111,-0.004280,-0.000001,-0.015118,-0.016828,-0.003859,-0.010659,0.010432,-0.013702,-0.003382,0.009829,-0.002105,0.023267,-0.020957,0.069924,0.049603,-0.005263,-0.003505,-0.047589,-0.001777,-0.002427,-0.036008,0.036759,-0.071921,0.054914,-0.036836,-0.006111,-0.047610,-0.039684,-0.012375,-0.015843,-0.033763
