joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.071841,0.050187,-0.040121,0.099945,-0.087379,-0.010542,0.195434,-0.122611,0.076481,0.152552,0.157914,-0.160482,-0.160482,-0.170092,-0.198029,0.238378,-0.238378,-0.090946,0.067958,-0.589229,0.589229,0.517607,0.517607,0.180228,-0.180228,-0.404745,-0.404745,-0.054220,-0.054220
0.071816,0.050067,-0.040263,0.099762,-0.087509,-0.010619,0.195315,-0.122713,0.076661,0.152463,0.157894,-0.159528,-0.159528,-0.170168,-0.197888,0.240449,-0.240449,-0.090803,0.067909,-0.589493,0.589493,0.511727,0.511727,0.179557,-0.179557,-0.408561,-0.408561,-0.054072,-0.054072
0.071926,0.049894,-0.040383,0.099610,-0.087594,-0.010697,0.195223,-0.122751,0.076841,0.152149,0.157806,-0.158730,-0.158730,-0.170216,-0.197756,0.242379,-0.242379,-0.090708,0.067757,-0.589600,0.589600,0.506525,0.506525,0.178999,-0.178999,-0.411487,-0.411487,-0.053853,-0.053853
0.071993,0.049616,-0.040515,0.099445,-0.087653,-0.010756,0.195303,-0.122525,0.077039,0.151965,0.157871,-0.158060,-0.158060,-0.170072,-0.197620,0.244198,-0.244198,-0.090599,0.067539,-0.589551,0.589551,0.501946,0.501946,0.178552,-0.178552,-0.413601,-0.413601,-0.053560,-0.053560
0.072039,0.049287,-0.040653,0.099273,-0.087699,-0.010805,0.195470,-0.122168,0.077246,0.151847,0.158013,-0.157482,-0.157482,-0.169833,-0.197483,0.245927,-0.245927,-0.090481,0.067289,-0.589352,0.589352,0.497930,0.497930,0.178204,-0.178204,-0.414999,-0.414999,-0.053193,-0.053193
0.072006,0.048776,-0.040662,0.099230,-0.087630,-0.010853,0.195873,-0.121540,0.077234,0.151351,0.158135,-0.156960,-0.156960,-0.169542,-0.197215,0.247577,-0.247577,-0.090350,0.067065,-0.589009,0.589009,0.494415,0.494415,0.177928,-0.177928,-0.415786,-0.415786,-0.052761,-0.052761
0.071915,0.048238,-0.040699,0.099177,-0.087589,-0.010892,0.196257,-0.120987,0.077287,0.151002,0.158288,-0.156451,-0.156451,-0.169268,-0.196989,0.249156,-0.249156,-0.090195,0.066876,-0.588535,0.588535,0.491332,0.491332,0.177694,-0.177694,-0.416074,-0.416074,-0.052281,-0.052281
0.071708,0.047646,-0.040789,0.099104,-0.087605,-0.010916,0.196606,-0.120586,0.077471,0.150946,0.158504,-0.155908,-0.155908,-0.169029,-0.196846,0.250669,-0.250669,-0.089995,0.066760,-0.587953,0.587953,0.488604,0.488604,0.177465,-0.177465,-0.415976,-0.415976,-0.051775,-0.051775
0.071428,0.047055,-0.040879,0.099024,-0.087645,-0.010997,0.196883,-0.120061,0.077646,0.150713,0.158584,-0.155291,-0.155291,-0.168770,-0.196722,0.252116,-0.252116,-0.089775,0.066565,-0.587287,0.587287,0.486157,0.486157,0.177214,-0.177214,-0.415598,-0.415598,-0.051270,-0.051270
0.071113,0.046465,-0.040971,0.098941,-0.087698,-0.011106,0.197125,-0.119474,0.077817,0.150392,0.158594,-0.154575,-0.154575,-0.168501,-0.196607,0.253502,-0.253502,-0.089545,0.066332,-0.586565,0.586565,0.483931,0.483931,0.176926,-0.176926,-0.415028,-0.415028,-0.050789,-0.050789
0.070768,0.045992,-0.041141,0.098830,-0.087696,-0.011194,0.197324,-0.118859,0.078029,0.150254,0.158759,-0.153756,-0.153756,-0.168373,-0.196664,0.254830,-0.254830,-0.089509,0.066086,-0.585819,0.585819,0.481877,0.481877,0.176600,-0.176600,-0.414340,-0.414340,-0.050352,-0.050352
