body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
0.000000,0.002325,-0.000550,-0.001805,0.002626,-0.000332,0.004066,0.001539,-0.000645,0.007564,-0.000473,-0.001371,0.001485,0.002653,-0.000799,-0.002092,0.000389,-0.000585,-0.001332,-0.003407,-0.000568,0.000122,0.002177,-0.000537,-0.002302,0.004881,-0.002040,-0.017054,0.032037,0.000579,-0.002202,-0.001447,0.062689,-0.000064,0.004695,0.000729,-0.016251,-0.024272,0.004216,-0.000138,0.008756,0.064754
0.000400,0.000100,-0.001025,-0.000798,0.000400,-0.000791,0.002888,-0.001355,-0.001047,0.004761,-0.003660,-0.001471,0.001311,0.000419,-0.001278,-0.001389,-0.001965,-0.001079,-0.001246,-0.005321,-0.000981,0.000487,-0.000028,-0.001016,-0.000430,0.002353,-0.002463,-0.014197,0.027153,-0.000037,-0.001120,-0.003435,0.057032,0.000802,0.002216,0.000084,-0.014490,-0.024433,0.003328,0.000117,0.004997,0.058931
0.004900,0.002325,-0.001275,0.004335,0.002604,-0.001048,0.006899,0.000319,-0.001286,0.008441,-0.002075,-0.001655,0.005325,0.002615,-0.001510,0.002944,0.000265,-0.001323,0.001352,-0.002430,-0.000946,0.004938,0.002220,-0.001271,0.005306,0.004223,-0.002609,-0.007383,0.026837,-0.000345,0.004175,-0.000494,0.051233,0.005779,0.004125,-0.000375,-0.008475,-0.020203,0.002626,0.004752,0.005540,0.052900
0.001175,0.006675,-0.001725,0.000321,0.006872,-0.001564,0.001684,0.004476,-0.001762,0.002556,0.001903,-0.002016,0.001838,0.006886,-0.001895,0.001201,0.004928,-0.001775,0.000442,0.002764,-0.001572,0.001233,0.006596,-0.001719,0.002441,0.007893,-0.002714,-0.009225,0.028927,-0.000515,0.001226,0.005470,0.045227,0.002921,0.007805,-0.001252,-0.010157,-0.014052,0.001471,0.001695,0.008399,0.046320
-0.003025,0.009175,-0.001650,-0.004238,0.009265,-0.001580,-0.004308,0.006970,-0.001713,-0.003788,0.004561,-0.001897,-0.002233,0.009280,-0.001734,-0.001185,0.007750,-0.001680,-0.000209,0.005982,-0.001805,-0.002914,0.009134,-0.001638,-0.000904,0.009865,-0.002368,-0.011417,0.029468,-0.000193,-0.001905,0.009750,0.039778,-0.000665,0.009795,-0.001498,-0.012531,-0.010025,0.001032,-0.001754,0.008878,0.040434
0.000025,0.005900,-0.000350,-0.000758,0.005877,-0.000370,-0.002619,0.003674,-0.000417,-0.001421,0.002196,-0.000693,-0.000020,0.005881,-0.000343,0.001142,0.004474,-0.000297,0.003059,0.002952,-0.000592,0.000188,0.005924,-0.000331,0.003390,0.006730,-0.001206,-0.005672,0.024511,0.000903,0.002789,0.007612,0.035566,0.002077,0.006727,-0.000072,-0.008680,-0.012058,0.002465,0.001611,0.002357,0.036435
0.000625,0.000725,0.000250,0.000056,0.000706,0.000238,-0.002850,-0.001674,0.000223,-0.002086,-0.003093,0.000015,-0.000006,0.000704,0.000245,0.001734,-0.000753,0.000285,0.003567,-0.002213,0.000003,0.000859,0.000767,0.000277,0.005216,0.001344,-0.000568,-0.002769,0.017910,0.001524,0.004829,0.004068,0.030861,0.002786,0.001391,0.000445,-0.007141,-0.016351,0.002928,0.002632,-0.006005,0.031653
-0.001525,-0.003725,-0.000175,-0.002212,-0.003625,-0.000084,-0.004903,-0.006377,-0.000139,-0.005497,-0.008662,-0.000147,-0.002191,-0.003626,-0.000289,0.000297,-0.005278,-0.000251,0.001060,-0.006890,-0.000343,-0.001239,-0.003721,-0.000142,0.003698,-0.003564,-0.000793,-0.003582,0.012368,0.001328,0.003552,0.002005,0.025568,0.001167,-0.003508,-0.000226,-0.008034,-0.020124,0.002157,0.001092,-0.013075,0.026041
-0.003675,-0.004600,-0.000625,-0.004002,-0.004514,-0.000549,-0.006680,-0.006906,-0.000590,-0.004935,-0.008191,-0.001007,-0.005280,-0.004524,-0.000740,-0.002159,-0.005968,-0.000723,-0.001268,-0.007242,-0.000860,-0.003251,-0.004574,-0.000577,0.001630,-0.004476,-0.001182,-0.004465,0.010611,0.001007,0.002390,0.003002,0.021186,-0.001716,-0.004384,-0.000615,-0.009930,-0.020414,0.001834,-0.000872,-0.016945,0.021676
-0.005375,-0.002325,-0.000425,-0.005163,-0.002291,-0.000400,-0.007475,-0.004215,-0.000433,-0.003620,-0.004432,-0.001204,-0.008008,-0.002313,-0.000506,-0.004323,-0.003540,-0.000511,-0.002967,-0.004368,-0.000753,-0.004826,-0.002258,-0.000363,0.000452,-0.002192,-0.000988,-0.004950,0.012071,0.001175,0.001416,0.006686,0.017571,-0.004131,-0.002052,-0.000338,-0.011987,-0.017676,0.002107,-0.002959,-0.017723,0.018138
