joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
1.189550,1.221950,0.099600,-0.122175,0.012400,0.137275,0.048200,-0.075025,0.005175,-1.033625,-0.995150,0.739275,0.716775,0.336950,0.313350,-0.143379,-0.054471,-0.096800,0.082075,0.298600,-0.151575,-0.554150,-0.192825,0.146050,0.032325,0.120725,0.124075,0.065475,-0.006250
1.232100,1.264050,0.104850,-0.125475,0.000050,0.159750,0.048600,-0.086150,0.008050,-1.037425,-0.995925,0.759750,0.742050,0.336850,0.305225,-0.140965,-0.096585,-0.095700,0.083975,0.281475,-0.155700,-0.592750,-0.201025,0.181175,0.030650,0.124475,0.160075,0.045825,0.006375
1.274700,1.298975,0.116800,-0.123275,-0.004875,0.187225,0.047200,-0.095975,0.012575,-1.040225,-0.992825,0.790375,0.774550,0.341900,0.291725,-0.140229,-0.149021,-0.093825,0.078775,0.237625,-0.173900,-0.637700,-0.225500,0.243350,0.000700,0.143050,0.188000,0.038075,0.013350
1.296100,1.309250,0.129475,-0.116700,0.000125,0.205975,0.044725,-0.099625,0.016450,-1.040650,-0.987375,0.815825,0.798000,0.349525,0.279625,-0.133227,-0.193923,-0.092175,0.069050,0.188950,-0.197050,-0.666575,-0.254050,0.301500,-0.042575,0.167225,0.193850,0.046025,0.011175
1.346325,1.361875,0.141975,-0.117500,-0.005650,0.227350,0.042850,-0.101900,0.014375,-1.065725,-0.998450,0.832150,0.824475,0.361350,0.271675,-0.129889,-0.255061,-0.094600,0.060550,0.136650,-0.214750,-0.699950,-0.274700,0.342625,-0.024825,0.188075,0.196000,0.044675,0.013600
1.403825,1.420425,0.155550,-0.124375,-0.014875,0.248550,0.041050,-0.105525,0.012550,-1.089575,-1.013100,0.839550,0.852525,0.367275,0.267525,-0.129917,-0.314633,-0.098850,0.055825,0.092700,-0.224600,-0.726825,-0.294475,0.358575,0.013400,0.200250,0.197950,0.035050,0.016400
1.447100,1.448425,0.171425,-0.136050,-0.020175,0.266850,0.038750,-0.113375,0.017175,-1.086450,-1.018425,0.838225,0.880625,0.357100,0.266875,-0.132666,-0.355159,-0.102750,0.057400,0.069075,-0.224100,-0.736250,-0.320475,0.341275,0.031500,0.198450,0.203200,0.018050,0.015300
1.490450,1.492850,0.182350,-0.148000,-0.023775,0.284925,0.035000,-0.118450,0.017075,-1.102275,-1.029225,0.843050,0.912100,0.359925,0.266225,-0.147682,-0.398993,-0.109350,0.054900,0.049750,-0.230575,-0.748475,-0.366275,0.323750,0.024825,0.206050,0.194450,-0.002125,0.009200
1.512250,1.531475,0.182825,-0.154225,-0.023875,0.293700,0.031700,-0.118150,0.012325,-1.129100,-1.040050,0.851600,0.931225,0.374350,0.265850,-0.166821,-0.424879,-0.115350,0.049625,0.044375,-0.240800,-0.757375,-0.409000,0.314750,-0.003250,0.219225,0.176100,-0.015375,0.001125
1.567925,1.578300,0.179950,-0.162325,-0.031500,0.294800,0.029675,-0.123700,0.018450,-1.168625,-1.058025,0.850300,0.965450,0.375950,0.268975,-0.182318,-0.431482,-0.121400,0.049375,0.057050,-0.255650,-0.764300,-0.453075,0.292100,-0.019800,0.220400,0.193375,-0.073425,0.009400
1.625225,1.621000,0.177800,-0.172875,-0.040375,0.292925,0.030675,-0.129500,0.020225,-1.209125,-1.080700,0.851425,0.999100,0.372675,0.271875,-0.196200,-0.426525,-0.124125,0.053650,0.068525,-0.265575,-0.771275,-0.498475,0.276450,-0.040500,0.216425,0.217350,-0.134175,0.020825
1.652000,1.647150,0.180425,-0.186525,-0.044175,0.292725,0.036425,-0.130025,0.002425,-1.238825,-1.105525,0.867250,1.016550,0.372425,0.270775,-0.209983,-0.418217,-0.120175,0.062050,0.059525,-0.260975,-0.780400,-0.545175,0.288450,-0.080925,0.214100,0.219150,-0.155525,0.022125
1.677150,1.667500,0.169875,-0.198875,-0.044375,0.279550,0.035050,-0.133825,-0.006200,-1.272875,-1.124675,0.876675,1.014500,0.376550,0.274050,-0.211589,-0.389961,-0.118200,0.068250,0.056200,-0.259025,-0.780850,-0.604600,0.301625,-0.106950,0.214025,0.231925,-0.168600,0.026225
1.688100,1.671975,0.151425,-0.203775,-0.040875,0.260025,0.027250,-0.138950,-0.001325,-1.294250,-1.128575,0.874975,0.993950,0.382975,0.280050,-0.208807,-0.347293,-0.119175,0.069175,0.060250,-0.260725,-0.772375,-0.647075,0.309375,-0.105600,0.216275,0.249325,-0.166875,0.031075
1.718525,1.683575,0.136900,-0.205200,-0.038250,0.234700,0.036525,-0.129800,0.002425,-1.311950,-1.148775,0.877825,0.975800,0.387750,0.287175,-0.199906,-0.305119,-0.118350,0.078450,0.059950,-0.262675,-0.755275,-0.676275,0.295600,-0.109375,0.201100,0.260275,-0.156150,0.032175
1.751350,1.697850,0.120250,-0.210025,-0.038125,0.208650,0.049225,-0.117725,0.002450,-1.345625,-1.177925,0.888950,0.958350,0.401250,0.298625,-0.185304,-0.264246,-0.118425,0.087025,0.059300,-0.261375,-0.738425,-0.701475,0.282600,-0.107825,0.195475,0.264700,-0.140375,0.029600
