body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
0.066464,0.126735,0.139626,-0.007835,-0.306463,0.120068,-0.041366,-0.050701,0.017669,0.040640,-0.007952,0.017798,-0.075276,-0.429027,0.101641,0.021163,0.259134,-0.005877,-0.067137,0.030484,0.007617,0.004836,0.740140,0.161800,0.057714,0.134530,-0.014285,0.147355,0.281837,-0.001995,0.119035,0.155170,0.174032,-0.078484,0.222877,0.320419,0.030133,0.173755,0.491667,0.012529,-0.034828,0.464459
0.079776,0.118902,0.161782,0.001175,-0.375245,0.138851,-0.054393,-0.000953,0.027449,0.047442,-0.001850,0.024428,-0.086760,-0.513584,0.114343,0.032630,0.337531,-0.016017,-0.069917,0.031164,0.002284,0.009402,0.794678,0.170886,0.059584,0.127592,-0.021321,0.158146,0.298489,-0.021724,0.142448,0.163408,0.173705,-0.076765,0.240660,0.340693,0.044892,0.168170,0.490693,0.012973,-0.074043,0.442575
0.093165,0.113066,0.185474,0.017064,-0.479327,0.158976,-0.074154,0.079892,0.039452,0.056557,0.006389,0.031446,-0.101032,-0.611999,0.126202,0.044488,0.412444,-0.033374,-0.067539,0.030897,-0.010374,0.017385,0.867759,0.183123,0.060557,0.107620,-0.033053,0.171292,0.314487,-0.056348,0.169548,0.181099,0.138519,-0.060541,0.253538,0.370214,0.068803,0.161691,0.493488,0.026159,-0.122158,0.424973
0.099878,0.112097,0.198884,0.033027,-0.566756,0.169565,-0.089215,0.151326,0.046633,0.065020,0.012586,0.034373,-0.109580,-0.675277,0.129604,0.052888,0.446136,-0.050794,-0.059091,0.029497,-0.025549,0.023426,0.922653,0.192509,0.056070,0.084470,-0.042700,0.176323,0.321626,-0.087743,0.183271,0.199034,0.086857,-0.035076,0.254733,0.393966,0.093294,0.157689,0.498144,0.049884,-0.154974,0.419487
0.098902,0.126277,0.213959,0.045838,-0.663270,0.181417,-0.108941,0.224945,0.053049,0.058521,0.028462,0.037371,-0.112332,-0.718372,0.136848,0.064536,0.468815,-0.063119,-0.036736,0.035897,-0.036787,0.031367,1.011892,0.197339,0.055913,0.051332,-0.069182,0.180062,0.326978,-0.163221,0.194930,0.219205,-0.002317,-0.005751,0.252855,0.423504,0.110354,0.159592,0.501274,0.053397,-0.171790,0.400920
0.093109,0.150501,0.224920,0.056593,-0.743905,0.189403,-0.122827,0.278508,0.054977,0.049604,0.045236,0.037367,-0.109692,-0.748687,0.142025,0.076470,0.473392,-0.067699,-0.010550,0.041270,-0.041410,0.038066,1.103747,0.201577,0.053824,0.020038,-0.095989,0.176375,0.328979,-0.245608,0.195957,0.238172,-0.088106,0.027710,0.247431,0.453342,0.119708,0.173481,0.510426,0.052012,-0.160612,0.400772
0.085355,0.179852,0.225673,0.066201,-0.783538,0.188203,-0.120255,0.289807,0.048599,0.050892,0.054140,0.031110,-0.101648,-0.773533,0.138684,0.085748,0.452874,-0.062395,0.009500,0.036851,-0.037228,0.040884,1.166461,0.209197,0.043511,0.002457,-0.106702,0.159826,0.325763,-0.297781,0.178407,0.252098,-0.129733,0.065700,0.237915,0.477723,0.121139,0.205301,0.532887,0.060935,-0.109210,0.450343
0.076127,0.230825,0.214228,0.075243,-0.820630,0.174371,-0.119470,0.292641,0.043678,0.042453,0.059439,0.026787,-0.095240,-0.804760,0.121980,0.091456,0.428530,-0.063457,0.026264,0.031475,-0.039639,0.043783,1.253295,0.198458,0.021527,-0.013959,-0.139745,0.123408,0.311728,-0.375340,0.138611,0.257656,-0.197124,0.114425,0.207004,0.495262,0.122388,0.227956,0.553456,0.064338,-0.048408,0.511171
0.069971,0.277807,0.196332,0.081397,-0.836781,0.153460,-0.117959,0.285566,0.041040,0.031473,0.058528,0.025010,-0.091007,-0.827151,0.097499,0.094592,0.412077,-0.072483,0.035104,0.027389,-0.049700,0.042959,1.320621,0.175334,-0.008651,-0.021129,-0.176322,0.078595,0.293415,-0.437414,0.090087,0.251445,-0.254611,0.160386,0.170437,0.495223,0.133871,0.230470,0.559858,0.072651,-0.008689,0.550398
0.064592,0.337839,0.171364,0.095176,-0.854076,0.126911,-0.114797,0.284044,0.045336,0.020749,0.056790,0.029894,-0.082333,-0.865683,0.065559,0.091351,0.387325,-0.057917,0.039778,0.019979,-0.036432,0.036472,1.379626,0.162730,-0.048269,-0.031791,-0.199963,0.006603,0.234725,-0.472540,0.020637,0.179307,-0.271393,0.197822,0.122211,0.505745,0.148130,0.215009,0.591620,0.065130,0.018735,0.633652
0.061962,0.400943,0.139149,0.110400,-0.863367,0.093075,-0.112981,0.287273,0.049569,0.014766,0.054759,0.034291,-0.068853,-0.907531,0.026440,0.087155,0.361687,-0.038718,0.043994,0.017298,-0.018867,0.026171,1.429247,0.146436,-0.092949,-0.032975,-0.221641,-0.076213,0.166529,-0.486994,-0.056009,0.073007,-0.260028,0.229089,0.078818,0.507693,0.181086,0.179070,0.616571,0.068461,0.014759,0.708204
0.064536,0.457049,0.099262,0.120298,-0.855672,0.049705,-0.115969,0.294142,0.046241,0.017687,0.052841,0.030538,-0.051077,-0.939977,-0.019981,0.086908,0.342417,-0.034185,0.051300,0.027304,-0.016275,0.014117,1.468459,0.111963,-0.139176,-0.011674,-0.252196,-0.153417,0.119112,-0.487251,-0.126463,-0.035770,-0.232622,0.256264,0.056804,0.481928,0.248933,0.121078,0.602034,0.110628,-0.038329,0.720741
0.067938,0.529664,0.055370,0.135780,-0.855491,0.002637,-0.116667,0.290482,0.045521,0.026646,0.046883,0.029579,-0.025022,-0.984227,-0.069212,0.085748,0.324440,-0.013487,0.057861,0.041626,0.002337,-0.008029,1.505970,0.060829,-0.193312,0.016105,-0.296934,-0.248087,0.061924,-0.493236,-0.218137,-0.184137,-0.183055,0.273593,0.027025,0.440662,0.363503,0.005890,0.575149,0.221623,-0.191061,0.675411
