joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.071841,0.050187,-0.040121,0.099945,-0.087379,-0.010542,0.195434,-0.122611,0.076481,0.152552,0.157914,0.036345,-0.074621,-0.170092,-0.198029,0.388535,-0.390948,-0.090946,0.067958,-0.474499,0.641681,1.121040,1.178247,0.185789,-0.117147,0.016805,-0.010691,-0.054441,0.124375
0.071816,0.050067,-0.040263,0.099762,-0.087509,-0.010619,0.195315,-0.122713,0.076661,0.152463,0.157894,0.036282,-0.074248,-0.170168,-0.197888,0.388710,-0.391025,-0.090803,0.067909,-0.474301,0.641575,1.120981,1.178317,0.185110,-0.115482,0.016641,-0.010871,-0.054301,0.124181
0.071926,0.049894,-0.040383,0.099610,-0.087594,-0.010697,0.195223,-0.122751,0.076841,0.152149,0.157806,0.036090,-0.073883,-0.170216,-0.197756,0.389002,-0.391242,-0.090708,0.067757,-0.474348,0.641499,1.120760,1.178186,0.184725,-0.113776,0.016499,-0.010978,-0.054196,0.124127
0.071993,0.049616,-0.040515,0.099445,-0.087653,-0.010756,0.195303,-0.122525,0.077039,0.151965,0.157871,0.035876,-0.073642,-0.170072,-0.197620,0.389213,-0.391539,-0.090599,0.067539,-0.474483,0.641616,1.120320,1.178199,0.184338,-0.112606,0.016440,-0.011002,-0.053988,0.123722
0.072039,0.049287,-0.040653,0.099273,-0.087699,-0.010805,0.195470,-0.122168,0.077246,0.151847,0.158013,0.035653,-0.073462,-0.169833,-0.197483,0.389336,-0.391877,-0.090481,0.067289,-0.474663,0.641829,1.119772,1.178283,0.183949,-0.111704,0.016423,-0.010986,-0.053729,0.123143
0.072006,0.048776,-0.040662,0.099230,-0.087630,-0.010853,0.195873,-0.121540,0.077234,0.151351,0.158135,0.035294,-0.073449,-0.169542,-0.197215,0.389500,-0.392231,-0.090350,0.067065,-0.474586,0.641924,1.119523,1.178095,0.183952,-0.111580,0.016086,-0.011015,-0.053000,0.122828
0.071915,0.048238,-0.040699,0.099177,-0.087589,-0.010892,0.196257,-0.120987,0.077287,0.151002,0.158288,0.034954,-0.073528,-0.169268,-0.196989,0.389495,-0.392589,-0.090195,0.066876,-0.474583,0.642003,1.119235,1.177990,0.183958,-0.111663,0.015843,-0.011068,-0.052342,0.122530
0.071708,0.047646,-0.040789,0.099104,-0.087605,-0.010916,0.196606,-0.120586,0.077471,0.150946,0.158504,0.034650,-0.073793,-0.169029,-0.196846,0.389257,-0.392955,-0.089995,0.066760,-0.474728,0.642050,1.118867,1.178054,0.183970,-0.112160,0.015790,-0.011167,-0.051823,0.122266
0.071428,0.047055,-0.040879,0.099024,-0.087645,-0.010997,0.196883,-0.120061,0.077646,0.150713,0.158584,0.034360,-0.073965,-0.168770,-0.196722,0.388862,-0.393284,-0.089775,0.066565,-0.474854,0.642083,1.118786,1.178188,0.183779,-0.112360,0.015687,-0.011417,-0.051148,0.122007
0.071113,0.046465,-0.040971,0.098941,-0.087698,-0.011106,0.197125,-0.119474,0.077817,0.150392,0.158594,0.034078,-0.074092,-0.168501,-0.196607,0.388313,-0.393610,-0.089545,0.066332,-0.474972,0.642109,1.118848,1.178357,0.183487,-0.112411,0.015560,-0.011741,-0.050396,0.121750
