joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.004425,-0.011275,-0.006300,-0.007925,-0.003600,-0.003425,-0.000300,0.004700,0.009450,-0.012450,-0.000575,-0.008887,-0.012289,0.002400,0.006700,0.004253,0.004773,0.005100,-0.009250,0.046023,-0.038608,-0.000725,-0.000705,0.000000,0.000000,0.003480,0.003673,0.025621,-0.022033
0.002825,-0.015175,-0.006750,-0.008425,-0.002625,-0.002700,0.006175,0.014575,0.010125,-0.007550,0.005175,-0.008579,-0.012505,0.009575,0.006825,0.004778,0.004379,0.005675,-0.011700,0.031414,-0.022554,-0.000496,-0.000405,0.000000,0.000000,0.002067,0.003154,0.028480,-0.025089
0.000325,-0.021000,-0.003675,-0.005375,0.000575,-0.002425,0.014250,0.024625,0.004875,-0.015350,0.006600,-0.010373,-0.012170,0.013250,0.010125,0.004090,0.001649,0.006225,-0.011850,0.013023,-0.009634,-0.000229,-0.000204,0.000000,0.000000,-0.003738,-0.004652,0.031196,-0.028979
-0.003100,-0.026225,-0.001150,-0.002400,0.002750,-0.002175,0.019675,0.029525,0.001025,-0.021125,0.006875,-0.012159,-0.012228,0.014125,0.012350,0.003692,-0.000754,0.007150,-0.010325,-0.002636,0.001532,-0.000006,-0.000036,0.000000,0.000000,-0.009666,-0.012189,0.029905,-0.028688
-0.007450,-0.028250,-0.003175,-0.003150,0.000625,-0.001575,0.018325,0.023850,0.005925,-0.010125,0.009225,-0.011866,-0.013593,0.012825,0.009225,0.005047,-0.000187,0.008875,-0.007625,-0.009208,0.012320,0.000091,0.000170,0.000000,0.000000,-0.011214,-0.011776,0.020785,-0.019243
-0.012175,-0.029575,-0.004500,-0.003825,-0.001400,-0.002625,0.015650,0.023150,0.008975,-0.007225,0.007400,-0.010196,-0.012540,0.012450,0.006675,0.005674,0.001015,0.010500,-0.007775,-0.006599,0.011222,0.000052,0.000151,0.000000,0.000000,-0.010582,-0.011562,0.018069,-0.015532
-0.014875,-0.029525,-0.004550,-0.004075,-0.002325,-0.004750,0.012975,0.027800,0.008650,-0.013850,0.002250,-0.007651,-0.009343,0.013200,0.005975,0.005300,0.002272,0.011250,-0.010700,0.004728,-0.001862,-0.000123,-0.000099,0.000000,0.000000,-0.009200,-0.012634,0.022483,-0.018784
-0.016500,-0.026575,-0.006550,-0.004850,-0.001275,-0.004925,0.011025,0.030050,0.009575,-0.011475,0.004375,-0.005227,-0.008291,0.009925,0.001450,0.005367,0.004461,0.006650,-0.011975,0.034437,-0.028137,-0.000603,-0.000588,0.000000,0.000000,-0.010142,-0.011973,0.029505,-0.025113
-0.015325,-0.024325,-0.008125,-0.004450,0.001900,-0.004675,0.010450,0.031050,0.010925,-0.006275,0.007150,-0.002904,-0.007187,0.005750,0.000375,0.005139,0.006255,0.000775,-0.012100,0.057356,-0.047875,-0.000963,-0.000942,0.000000,0.000000,-0.009206,-0.009221,0.033173,-0.028416
-0.009575,-0.026375,-0.006975,-0.001200,0.007250,-0.005550,0.011925,0.031950,0.011825,-0.004375,0.003850,-0.000630,-0.003845,0.003800,0.009975,0.003919,0.006383,-0.002225,-0.011575,0.048366,-0.041298,-0.000783,-0.000789,0.000000,0.000000,-0.002154,-0.003990,0.027568,-0.022592
