body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
0.000000,0.002325,-0.000550,-0.001805,0.002626,-0.000332,0.004066,0.001539,-0.000645,0.007564,-0.000473,-0.001371,0.001485,0.002653,-0.000799,-0.002092,0.000389,-0.000585,-0.001332,-0.003407,-0.000568,0.000157,0.002382,-0.000536,-0.001229,0.004994,-0.002008,-0.003498,0.005674,-0.003549,-0.006892,0.006887,-0.005287,0.001034,0.004860,0.000765,-0.000991,0.006085,-0.000708,-0.003494,0.006849,-0.002236
0.000400,0.000100,-0.001025,-0.000798,0.000400,-0.000791,0.002888,-0.001355,-0.001047,0.004761,-0.003660,-0.001471,0.001311,0.000419,-0.001278,-0.001389,-0.001965,-0.001079,-0.001246,-0.005321,-0.000981,0.000514,0.000163,-0.001015,0.000519,0.002441,-0.002444,-0.002088,0.002541,-0.004237,-0.006004,0.003137,-0.006352,0.001764,0.002354,0.000097,-0.000813,0.002947,-0.001760,-0.004192,0.003198,-0.003809
0.004900,0.002325,-0.001275,0.004335,0.002604,-0.001048,0.006899,0.000319,-0.001286,0.008441,-0.002075,-0.001655,0.005325,0.002615,-0.001510,0.002944,0.000265,-0.001323,0.001352,-0.002430,-0.000946,0.004954,0.002389,-0.001271,0.006115,0.004290,-0.002609,0.003101,0.003937,-0.004696,-0.001349,0.004051,-0.007185,0.006589,0.004235,-0.000391,0.003445,0.004348,-0.002644,-0.000762,0.004195,-0.005186
0.001175,0.006675,-0.001725,0.000321,0.006872,-0.001564,0.001684,0.004476,-0.001762,0.002556,0.001903,-0.002016,0.001838,0.006886,-0.001895,0.001201,0.004928,-0.001775,0.000442,0.002764,-0.001572,0.001251,0.006708,-0.001719,0.003187,0.007916,-0.002696,0.000588,0.008081,-0.004484,-0.003434,0.008455,-0.006752,0.003690,0.007895,-0.001230,0.001275,0.008395,-0.002973,-0.002290,0.008699,-0.005146
-0.003025,0.009175,-0.001650,-0.004238,0.009265,-0.001580,-0.004308,0.006970,-0.001713,-0.003788,0.004561,-0.001897,-0.002233,0.009280,-0.001734,-0.001185,0.007750,-0.001680,-0.000209,0.005982,-0.001805,-0.002886,0.009198,-0.001637,-0.000204,0.009844,-0.002325,-0.002127,0.010424,-0.003638,-0.005312,0.010962,-0.005454,0.000085,0.009867,-0.001431,-0.001335,0.010641,-0.002471,-0.003835,0.011309,-0.004013
0.000025,0.005900,-0.000350,-0.000758,0.005877,-0.000370,-0.002619,0.003674,-0.000417,-0.001421,0.002196,-0.000693,-0.000020,0.005881,-0.000343,0.001142,0.004474,-0.000297,0.003059,0.002952,-0.000592,0.000229,0.005999,-0.000331,0.004007,0.006683,-0.001162,0.002464,0.006477,-0.002236,-0.000026,0.006214,-0.003733,0.002744,0.006773,-0.000010,0.001563,0.006698,-0.000860,-0.000492,0.006657,-0.002108
0.000625,0.000725,0.000250,0.000056,0.000706,0.000238,-0.002850,-0.001674,0.000223,-0.002086,-0.003093,0.000015,-0.000006,0.000704,0.000245,0.001734,-0.000753,0.000285,0.003567,-0.002213,0.000003,0.000916,0.000834,0.000278,0.005753,0.001274,-0.000532,0.004409,0.000674,-0.001478,0.002458,0.000052,-0.002703,0.003379,0.001410,0.000499,0.002357,0.000944,-0.000226,0.000716,0.000551,-0.001208
-0.001525,-0.003725,-0.000175,-0.002212,-0.003625,-0.000084,-0.004903,-0.006377,-0.000139,-0.005497,-0.008662,-0.000147,-0.002191,-0.003626,-0.000289,0.000297,-0.005278,-0.000251,0.001060,-0.006890,-0.000343,-0.001170,-0.003677,-0.000141,0.004153,-0.003640,-0.000780,0.002667,-0.004022,-0.001814,0.000793,-0.004402,-0.002984,0.001684,-0.003501,-0.000188,0.000604,-0.003708,-0.000956,-0.000893,-0.003887,-0.001868
-0.003675,-0.004600,-0.000625,-0.004002,-0.004514,-0.000549,-0.006680,-0.006906,-0.000590,-0.004935,-0.008191,-0.001007,-0.005280,-0.004524,-0.000740,-0.002159,-0.005968,-0.000723,-0.001268,-0.007242,-0.000860,-0.003151,-0.004533,-0.000575,0.002099,-0.004572,-0.001149,0.001409,-0.005587,-0.001654,0.000788,-0.006672,-0.002180,-0.001205,-0.004399,-0.000572,-0.001824,-0.005345,-0.000994,-0.002491,-0.006035,-0.001423
-0.005375,-0.002325,-0.000425,-0.005163,-0.002291,-0.000400,-0.007475,-0.004215,-0.000433,-0.003620,-0.004432,-0.001204,-0.008008,-0.002313,-0.000506,-0.004323,-0.003540,-0.000511,-0.002967,-0.004368,-0.000753,-0.004697,-0.002217,-0.000360,0.000951,-0.002318,-0.000938,0.000870,-0.004091,-0.001046,0.001295,-0.006010,-0.001068,-0.003604,-0.002095,-0.000291,-0.003902,-0.003920,-0.000465,-0.003923,-0.005256,-0.000517
