body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
-0.005928,-0.011276,0.776271,-0.019639,0.109447,0.648757,0.033392,0.135529,0.348330,-0.026735,0.138082,0.036760,-0.004961,-0.122846,0.640334,0.064211,-0.146742,0.343038,-0.012288,-0.153968,0.035486,-0.003368,-0.012234,0.830337,0.131456,0.131024,1.027746,0.219672,0.150970,0.866357,0.302535,0.177484,0.704691,0.137929,-0.146355,1.029912,0.227863,-0.148321,0.868255,0.313656,-0.156632,0.706032
-0.009145,-0.011436,0.774381,-0.023555,0.109507,0.647374,0.034693,0.136438,0.347989,-0.027053,0.138252,0.036747,-0.008800,-0.122765,0.638507,0.066389,-0.147130,0.342718,-0.011950,-0.153882,0.035642,-0.005936,-0.012435,0.828411,0.135182,0.130905,1.021655,0.223148,0.151371,0.860194,0.306174,0.177920,0.698510,0.141749,-0.146288,1.023841,0.231311,-0.148177,0.861975,0.317095,-0.155862,0.699613
-0.012217,-0.011415,0.772200,-0.027322,0.109814,0.645804,0.036387,0.137540,0.347606,-0.027140,0.138551,0.036736,-0.012626,-0.122440,0.636381,0.068790,-0.147331,0.342293,-0.011326,-0.153741,0.035690,-0.008312,-0.012454,0.826182,0.138890,0.130955,1.015131,0.226739,0.151979,0.853677,0.310146,0.178460,0.692050,0.145208,-0.146058,1.017597,0.234497,-0.148003,0.855579,0.320451,-0.155014,0.693153
-0.015331,-0.011433,0.769823,-0.031146,0.110084,0.644084,0.038270,0.138652,0.347242,-0.027238,0.138819,0.036801,-0.016532,-0.122154,0.634102,0.071287,-0.147646,0.341917,-0.010674,-0.153775,0.035820,-0.010703,-0.012510,0.823745,0.142363,0.130947,1.008293,0.230080,0.152573,0.846846,0.313878,0.178978,0.685288,0.148395,-0.145887,1.011078,0.237398,-0.147917,0.848902,0.323528,-0.154240,0.686427
-0.018531,-0.011529,0.767052,-0.035090,0.110279,0.642039,0.040534,0.139806,0.346812,-0.027358,0.139044,0.036908,-0.020594,-0.121941,0.631486,0.074015,-0.148160,0.341497,-0.009921,-0.154108,0.035959,-0.013126,-0.012640,0.820899,0.145502,0.130835,1.001029,0.233135,0.153094,0.839620,0.317394,0.179416,0.678176,0.151165,-0.145824,1.004203,0.239930,-0.147961,0.841896,0.326304,-0.153578,0.679423
-0.021728,-0.011547,0.763786,-0.039068,0.110534,0.639551,0.043154,0.141045,0.346192,-0.027540,0.139199,0.036949,-0.024722,-0.121670,0.628448,0.076857,-0.148703,0.340906,-0.009353,-0.154443,0.036032,-0.015501,-0.012693,0.817541,0.148428,0.130715,0.993268,0.235952,0.153645,0.831893,0.320653,0.179918,0.670576,0.153711,-0.145774,0.996757,0.242240,-0.147991,0.834321,0.328857,-0.152898,0.671873
-0.024923,-0.011527,0.760271,-0.043062,0.110816,0.636861,0.045926,0.142302,0.345587,-0.027773,0.139293,0.037086,-0.028884,-0.121373,0.625222,0.079708,-0.149287,0.340343,-0.008931,-0.154813,0.036200,-0.017852,-0.012709,0.813919,0.151187,0.130589,0.985183,0.238545,0.154225,0.823819,0.323648,0.180455,0.662626,0.156094,-0.145734,0.988956,0.244343,-0.148035,0.826367,0.331168,-0.152221,0.663948
-0.028306,-0.011373,0.755982,-0.047409,0.111185,0.633487,0.049062,0.143824,0.344732,-0.027961,0.139549,0.037097,-0.033391,-0.120990,0.621370,0.082801,-0.149729,0.339592,-0.008617,-0.154928,0.036310,-0.020268,-0.012586,0.809492,0.153349,0.130525,0.976609,0.240585,0.154877,0.815284,0.326124,0.181083,0.654255,0.157913,-0.145642,0.980543,0.245964,-0.147979,0.817847,0.333062,-0.151432,0.655514
-0.031676,-0.011224,0.751368,-0.051764,0.111543,0.629863,0.052361,0.145330,0.343911,-0.028132,0.139722,0.037228,-0.037935,-0.120618,0.617269,0.085935,-0.150217,0.338873,-0.008349,-0.155081,0.036511,-0.022644,-0.012471,0.804717,0.155295,0.130446,0.967733,0.242419,0.155510,0.806456,0.328407,0.181675,0.645614,0.159577,-0.145569,0.971775,0.247423,-0.147958,0.808967,0.334792,-0.150681,0.646740
-0.035020,-0.011086,0.746105,-0.056142,0.111883,0.625694,0.056029,0.146842,0.342943,-0.028227,0.139775,0.037351,-0.042545,-0.120266,0.612622,0.089240,-0.150750,0.337984,-0.008076,-0.155237,0.036629,-0.024937,-0.012375,0.799264,0.156934,0.130338,0.958402,0.244049,0.156078,0.797227,0.330568,0.182183,0.636632,0.161037,-0.145531,0.962429,0.248748,-0.147971,0.799548,0.336444,-0.149987,0.637478
-0.038351,-0.010866,0.740121,-0.060538,0.112284,0.620894,0.060050,0.148559,0.341796,-0.028238,0.140002,0.037441,-0.047132,-0.119849,0.607360,0.092873,-0.151222,0.336924,-0.007804,-0.155243,0.036730,-0.027192,-0.012195,0.793062,0.158460,0.130316,0.948315,0.245657,0.156746,0.787295,0.332772,0.182830,0.627009,0.162433,-0.145403,0.952285,0.250118,-0.147844,0.789389,0.338223,-0.149139,0.627542
