body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
-0.131342,0.219498,-0.181811,-0.128200,0.574614,-0.135186,0.016628,-0.294848,-0.104649,-0.016650,0.050454,-0.111850,-0.112416,0.667664,0.006291,-0.099904,-0.428491,0.012380,0.087844,0.006161,-0.006010,-0.232554,0.233635,-0.125991,-0.225348,0.155983,-0.104208,-0.230014,0.155667,-0.093673,-0.178669,0.308377,-0.211321,-0.213395,0.243201,-0.116282,-0.267855,0.238301,-0.007838,-0.085303,0.305403,-0.141647
-0.143651,0.196983,-0.179956,-0.136270,0.562171,-0.123283,0.011649,-0.307652,-0.091903,-0.029390,0.053863,-0.099749,-0.120819,0.669723,0.008902,-0.111605,-0.446841,0.014199,0.087032,-0.002216,-0.005284,-0.195630,0.207996,-0.133917,-0.210975,0.134146,-0.125887,-0.223727,0.133784,-0.101651,-0.145303,0.277773,-0.276123,-0.203288,0.195466,-0.137296,-0.234995,0.193009,-0.073138,-0.142473,0.265987,-0.074980
-0.155606,0.173575,-0.175231,-0.144227,0.550671,-0.110628,0.011492,-0.323974,-0.079135,-0.032689,0.041168,-0.087497,-0.130256,0.664346,0.004232,-0.119346,-0.459844,0.007942,0.075516,-0.020839,-0.011670,-0.171865,0.170823,-0.132303,-0.206969,0.103085,-0.136860,-0.228717,0.102845,-0.097445,-0.129476,0.231481,-0.332620,-0.203169,0.147698,-0.147268,-0.213335,0.147137,-0.125921,-0.181609,0.213212,-0.012416
-0.168666,0.150022,-0.171586,-0.153104,0.508476,-0.100490,0.010416,-0.329442,-0.072367,-0.039135,0.030357,-0.080967,-0.137947,0.643181,0.014886,-0.127508,-0.467835,0.017605,0.062306,-0.035224,-0.002081,-0.150481,0.149492,-0.134544,-0.203394,0.073103,-0.147001,-0.233577,0.073129,-0.092801,-0.106044,0.198578,-0.402157,-0.203167,0.101340,-0.158823,-0.194253,0.102092,-0.175892,-0.230861,0.173732,0.062809
-0.178285,0.125665,-0.167499,-0.159248,0.458988,-0.092490,0.010391,-0.326651,-0.069096,-0.043166,0.019804,-0.077704,-0.142165,0.610327,0.025153,-0.132561,-0.467728,0.026959,0.051035,-0.047994,0.007459,-0.131493,0.135640,-0.134580,-0.201004,0.044157,-0.152535,-0.241439,0.044679,-0.080828,-0.094735,0.166216,-0.452878,-0.202539,0.060012,-0.166164,-0.175508,0.061538,-0.220373,-0.261246,0.137987,0.120540
-0.179766,0.099803,-0.161589,-0.158724,0.425561,-0.086763,0.013579,-0.318175,-0.066833,-0.039037,0.007751,-0.075293,-0.142064,0.569750,0.019096,-0.131187,-0.456672,0.019867,0.044917,-0.062063,0.000976,-0.114866,0.120919,-0.126283,-0.200282,0.017070,-0.149944,-0.250170,0.018323,-0.063147,-0.115090,0.122112,-0.452888,-0.200926,0.028668,-0.164014,-0.162215,0.030234,-0.242647,-0.243999,0.095564,0.130534
-0.180922,0.063416,-0.152015,-0.157355,0.377075,-0.075173,0.015172,-0.308395,-0.059879,-0.035301,-0.003284,-0.068139,-0.141000,0.525518,0.021921,-0.125620,-0.434114,0.020945,0.031278,-0.071566,0.003458,-0.105311,0.076512,-0.117136,-0.198719,-0.032691,-0.143672,-0.251150,-0.030821,-0.053140,-0.130314,0.052949,-0.448997,-0.199944,-0.024507,-0.158239,-0.157698,-0.023296,-0.244104,-0.231894,0.028137,0.142929
-0.181165,0.034665,-0.143480,-0.155025,0.337840,-0.064052,0.014686,-0.302233,-0.051735,-0.033243,-0.007731,-0.060056,-0.137594,0.500119,0.031116,-0.116923,-0.410915,0.028281,0.018620,-0.071340,0.012079,-0.107673,0.024622,-0.111520,-0.197367,-0.081085,-0.136465,-0.249506,-0.078718,-0.046631,-0.132139,-0.007616,-0.442660,-0.199720,-0.074312,-0.151150,-0.156160,-0.073566,-0.239539,-0.231748,-0.030066,0.151362
-0.182966,0.003979,-0.131934,-0.156101,0.269265,-0.054275,0.015487,-0.292745,-0.049601,-0.025799,-0.038339,-0.057047,-0.139416,0.445642,0.030361,-0.113474,-0.387896,0.025731,-0.002744,-0.082899,0.011367,-0.089453,-0.009204,-0.098643,-0.194159,-0.113665,-0.132580,-0.246237,-0.110792,-0.043787,-0.147985,-0.055208,-0.425463,-0.197093,-0.113352,-0.145692,-0.153072,-0.113096,-0.234631,-0.220360,-0.075410,0.156524
-0.183126,-0.027459,-0.115830,-0.156641,0.204642,-0.042372,0.014522,-0.271512,-0.045794,-0.021401,-0.068380,-0.051866,-0.141426,0.383584,0.029273,-0.110408,-0.359767,0.022839,-0.018519,-0.089541,0.010131,-0.068049,-0.038465,-0.081935,-0.185282,-0.125442,-0.127895,-0.175615,-0.126208,-0.140079,-0.174369,-0.084008,-0.400371,-0.190782,-0.143656,-0.136567,-0.147804,-0.143887,-0.222973,-0.195219,-0.102480,0.165635
