body_0_w,body_0_x,body_0_y,body_0_z,body_1_w,body_1_x,body_1_y,body_1_z,body_2_w,body_2_x,body_2_y,body_2_z,body_3_w,body_3_x,body_3_y,body_3_z,body_4_w,body_4_x,body_4_y,body_4_z,body_5_w,body_5_x,body_5_y,body_5_z,body_6_w,body_6_x,body_6_y,body_6_z,body_7_w,body_7_x,body_7_y,body_7_z,body_8_w,body_8_x,body_8_y,body_8_z,body_9_w,body_9_x,body_9_y,body_9_z,body_10_w,body_10_x,body_10_y,body_10_z,body_11_w,body_11_x,body_11_y,body_11_z,body_12_w,body_12_x,body_12_y,body_12_z,body_13_w,body_13_x,body_13_y,body_13_z
0.994535,0.008032,0.103938,0.005616,0.975327,0.053267,-0.213883,0.012426,0.990700,-0.000842,0.077231,0.112021,0.993611,-0.013597,0.004872,0.111927,0.967013,-0.057366,-0.247749,-0.014652,0.993779,-0.025729,0.084373,-0.067986,0.997709,0.005882,0.011266,-0.066445,0.933095,-0.014183,0.358761,-0.020577,0.911805,0.051090,-0.388073,-0.124103,0.789657,-0.503193,0.242331,0.253997,0.921796,0.099713,0.255153,-0.274311,0.913207,-0.044354,-0.380975,0.137636,0.797216,0.488981,0.258044,-0.242400,0.920694,-0.086270,0.249612,0.287355
0.995209,0.007982,0.097302,0.005255,0.977183,0.052200,-0.205552,0.011665,0.990868,-0.000225,0.074342,0.112489,0.993562,-0.013684,0.004525,0.112366,0.968998,-0.057125,-0.239959,-0.014153,0.993977,-0.026454,0.082054,-0.067656,0.997734,0.006301,0.010753,-0.066117,0.935706,-0.012581,0.351954,-0.020610,0.910068,0.052558,-0.391643,-0.125018,0.791907,-0.502412,0.239234,0.251460,0.922839,0.099836,0.250180,-0.275337,0.911396,-0.044374,-0.385809,0.136156,0.797563,0.491651,0.253695,-0.240438,0.921881,-0.086398,0.244739,0.287703
0.995812,0.007937,0.090946,0.004911,0.978850,0.051240,-0.197753,0.010964,0.991010,0.000407,0.071695,0.112952,0.993514,-0.013678,0.004238,0.112801,0.970797,-0.056882,-0.232659,-0.013704,0.994134,-0.027132,0.080205,-0.067297,0.997754,0.006634,0.010753,-0.065783,0.938275,-0.011207,0.345083,-0.020779,0.908260,0.053934,-0.395389,-0.125789,0.794123,-0.501758,0.235992,0.248828,0.924169,0.099869,0.244867,-0.275640,0.909521,-0.044501,-0.390668,0.134793,0.798029,0.494132,0.249307,-0.238389,0.923354,-0.086418,0.239532,0.287355
0.996362,0.007847,0.084731,0.004580,0.980409,0.050311,-0.190161,0.010317,0.991144,0.001070,0.069116,0.113386,0.993467,-0.013785,0.004113,0.113213,0.972514,-0.056563,-0.225480,-0.013228,0.994296,-0.027796,0.078387,-0.066773,0.997783,0.006795,0.010902,-0.065295,0.940924,-0.009968,0.337818,-0.020998,0.906316,0.055280,-0.399434,-0.126440,0.796392,-0.501182,0.232494,0.246014,0.925627,0.100091,0.238854,-0.275944,0.907507,-0.044766,-0.395741,0.133480,0.798702,0.496417,0.244712,-0.236139,0.924943,-0.086707,0.233643,0.287007
0.996868,0.007734,0.078586,0.004256,0.981885,0.049398,-0.182668,0.009697,0.991269,0.001761,0.066569,0.113806,0.993419,-0.013938,0.004069,0.113614,0.974166,-0.056201,-0.218355,-0.012748,0.994458,-0.028441,0.076585,-0.066169,0.997817,0.006882,0.011128,-0.064732,0.943581,-0.008799,0.330344,-0.021237,0.904279,0.056624,-0.403660,-0.127014,0.798686,-0.500643,0.228822,0.243100,0.927151,0.100557,0.232454,-0.276124,0.905390,-0.045103,-0.400949,0.132193,0.799495,0.498575,0.239984,-0.233749,0.926596,-0.087278,0.227377,0.286533
0.997293,0.007659,0.073014,0.004068,0.983231,0.048411,-0.175584,0.009189,0.991427,0.002467,0.063887,0.113953,0.993398,-0.014298,0.004087,0.113749,0.975677,-0.055768,-0.211647,-0.012205,0.994643,-0.029025,0.074587,-0.065423,0.997864,0.006707,0.011104,-0.064018,0.946426,-0.007793,0.322108,-0.021504,0.902275,0.058010,-0.407800,-0.127411,0.800972,-0.500007,0.225142,0.240306,0.928626,0.102206,0.225958,-0.275954,0.903283,-0.045427,-0.406020,0.131013,0.800361,0.500503,0.235422,-0.231290,0.928159,-0.088999,0.220958,0.285969
0.997666,0.007565,0.067751,0.003880,0.984501,0.047426,-0.168621,0.008699,0.991588,0.003203,0.061208,0.114004,0.993388,-0.014672,0.004063,0.113790,0.977130,-0.055334,-0.204983,-0.011673,0.994824,-0.029569,0.072541,-0.064723,0.997911,0.006444,0.010971,-0.063345,0.949311,-0.006789,0.313516,-0.021700,0.900246,0.059385,-0.411956,-0.127761,0.803147,-0.499496,0.221405,0.237567,0.930052,0.104488,0.219249,-0.275708,0.901138,-0.045784,-0.411096,0.129825,0.801164,0.502479,0.230807,-0.228865,0.929680,-0.091385,0.214333,0.285315
0.997972,0.007431,0.063109,0.003693,0.985677,0.046445,-0.161911,0.008238,0.991763,0.003979,0.058537,0.113858,0.993400,-0.015097,0.003954,0.113632,0.978514,-0.054906,-0.198421,-0.011151,0.995003,-0.030060,0.070397,-0.064110,0.997955,0.005981,0.010614,-0.062748,0.952332,-0.005791,0.304232,-0.021761,0.898223,0.060719,-0.416069,-0.128047,0.805199,-0.499090,0.217676,0.234905,0.931369,0.107730,0.212177,-0.275548,0.898984,-0.046198,-0.416113,0.128619,0.801896,0.504470,0.226180,-0.226529,0.931100,-0.094801,0.207360,0.284723
0.998225,0.007198,0.059009,0.003615,0.986751,0.045514,-0.155523,0.007937,0.991940,0.004795,0.055857,0.113631,0.993422,-0.015553,0.003680,0.113389,0.979856,-0.054438,-0.191858,-0.010497,0.995185,-0.030453,0.068135,-0.063540,0.998001,0.005527,0.009886,-0.062176,0.955612,-0.004816,0.293788,-0.021704,0.896170,0.062088,-0.420222,-0.128210,0.807026,-0.498982,0.213790,0.232420,0.932711,0.111216,0.204553,-0.275389,0.896736,-0.046577,-0.421252,0.127440,0.802487,0.506692,0.221434,-0.224154,0.932467,-0.098674,0.199861,0.284296
0.998446,0.006916,0.055181,0.003592,0.987756,0.044606,-0.149293,0.007716,0.992114,0.005623,0.053175,0.113357,0.993449,-0.016032,0.003327,0.113099,0.981153,-0.053948,-0.185289,-0.009786,0.995365,-0.030794,0.065814,-0.063002,0.998046,0.005079,0.008974,-0.061628,0.958945,-0.003849,0.282742,-0.021592,0.894078,0.063495,-0.424425,-0.128282,0.808723,-0.499047,0.209771,0.230033,0.934042,0.115059,0.196646,-0.275058,0.894405,-0.046933,-0.426491,0.126261,0.802964,0.509087,0.216583,-0.221745,0.933787,-0.103008,0.192090,0.283783
