body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
0.045835,-0.009318,0.783307,0.046344,0.108028,0.650993,0.032453,0.127243,0.345686,-0.026068,0.140073,0.034063,0.047924,-0.124866,0.649402,0.040209,-0.141585,0.343792,-0.013713,-0.153484,0.031391,0.040831,-0.009475,0.827201,0.062261,0.130986,1.071312,0.061793,0.174400,0.892245,0.110233,0.184739,0.714704,0.053658,-0.149983,1.071934,0.069581,-0.182124,0.891280,0.123844,-0.181155,0.715202
0.045903,-0.009287,0.783284,0.046397,0.108066,0.650974,0.032564,0.127238,0.345661,-0.025924,0.140021,0.034031,0.048003,-0.124828,0.649373,0.040239,-0.141595,0.343767,-0.013703,-0.153551,0.031372,0.040899,-0.009446,0.827177,0.062348,0.131056,1.071263,0.061854,0.174430,0.892186,0.110246,0.184769,0.714633,0.053749,-0.149913,1.071932,0.069523,-0.182020,0.891259,0.123585,-0.181085,0.715118
0.046031,-0.009225,0.783256,0.046517,0.108133,0.650951,0.032729,0.127256,0.345634,-0.025730,0.139990,0.033997,0.048136,-0.124761,0.649342,0.040326,-0.141574,0.343739,-0.013659,-0.153580,0.031353,0.041027,-0.009386,0.827150,0.062509,0.131151,1.071213,0.061970,0.174472,0.892123,0.110313,0.184784,0.714555,0.053906,-0.149818,1.071923,0.069523,-0.181888,0.891230,0.123378,-0.180991,0.715026
0.045950,-0.009020,0.783215,0.046410,0.108341,0.650911,0.032632,0.127418,0.345591,-0.025820,0.140097,0.033950,0.048078,-0.124553,0.649298,0.040288,-0.141397,0.343696,-0.013684,-0.153440,0.031309,0.040949,-0.009182,0.827108,0.062478,0.131368,1.071160,0.061898,0.174675,0.892066,0.110213,0.184988,0.714491,0.053884,-0.149601,1.071885,0.069396,-0.181680,0.891184,0.123135,-0.180810,0.714945
0.045910,-0.008858,0.783190,0.046349,0.108503,0.650888,0.032558,0.127535,0.345565,-0.025880,0.140173,0.033920,0.048048,-0.124390,0.649272,0.040280,-0.141264,0.343671,-0.013666,-0.153341,0.031281,0.040912,-0.009021,0.827084,0.062503,0.131544,1.071122,0.061894,0.174850,0.892028,0.110198,0.185159,0.714451,0.053898,-0.149426,1.071866,0.069298,-0.181529,0.891160,0.122932,-0.180695,0.714889
0.045951,-0.008784,0.783201,0.046380,0.108576,0.650897,0.032527,0.127564,0.345575,-0.025878,0.140185,0.033923,0.048077,-0.124318,0.649284,0.040333,-0.141218,0.343684,-0.013562,-0.153322,0.031286,0.040957,-0.008945,0.827096,0.062641,0.131636,1.071116,0.062028,0.174969,0.892028,0.110356,0.185264,0.714457,0.053982,-0.149332,1.071886,0.069260,-0.181492,0.891179,0.122808,-0.180710,0.714883
0.045935,-0.008829,0.783200,0.046350,0.108532,0.650898,0.032443,0.127468,0.345574,-0.025965,0.140049,0.033921,0.048047,-0.124361,0.649282,0.040348,-0.141294,0.343683,-0.013524,-0.153428,0.031281,0.040946,-0.008990,0.827096,0.062737,0.131597,1.071102,0.062114,0.174963,0.892023,0.110490,0.185227,0.714463,0.054022,-0.149369,1.071887,0.069189,-0.181592,0.891182,0.122634,-0.180877,0.714854
0.045890,-0.008933,0.783194,0.046291,0.108431,0.650893,0.032331,0.127310,0.345569,-0.026097,0.139839,0.033917,0.047989,-0.124462,0.649272,0.040345,-0.141430,0.343674,-0.013520,-0.153598,0.031272,0.040907,-0.009094,0.827089,0.062812,0.131493,1.071086,0.062176,0.174894,0.892016,0.110611,0.185118,0.714469,0.054039,-0.149471,1.071878,0.069103,-0.181759,0.891177,0.122436,-0.181120,0.714815
0.045788,-0.009013,0.783175,0.046191,0.108351,0.650875,0.032176,0.127192,0.345550,-0.026161,0.139721,0.033881,0.047836,-0.124542,0.649252,0.040263,-0.141533,0.343654,-0.013574,-0.153719,0.031246,0.040816,-0.009173,0.827072,0.062825,0.131417,1.071057,0.062230,0.174877,0.892001,0.110741,0.185106,0.714476,0.053965,-0.149544,1.071864,0.068971,-0.181908,0.891171,0.122283,-0.181329,0.714802
0.045675,-0.009026,0.783177,0.046085,0.108339,0.650877,0.032032,0.127140,0.345551,-0.026243,0.139661,0.033869,0.047669,-0.124555,0.649252,0.040172,-0.141572,0.343653,-0.013639,-0.153773,0.031242,0.040714,-0.009185,0.827075,0.062854,0.131405,1.071048,0.062284,0.174916,0.892004,0.110857,0.185137,0.714496,0.053890,-0.149553,1.071867,0.068841,-0.181992,0.891183,0.122124,-0.181483,0.714806
0.045541,-0.008904,0.783219,0.045967,0.108461,0.650920,0.031910,0.127222,0.345591,-0.026358,0.139715,0.033905,0.047470,-0.124433,0.649293,0.040063,-0.141481,0.343694,-0.013726,-0.153693,0.031278,0.040591,-0.009061,0.827118,0.062914,0.131521,1.071080,0.062342,0.175069,0.892045,0.110946,0.185254,0.714544,0.053812,-0.149433,1.071906,0.068713,-0.181946,0.891231,0.121953,-0.181528,0.714841
0.045340,-0.008869,0.783229,0.045778,0.108502,0.650934,0.031729,0.127233,0.345603,-0.026463,0.139722,0.033902,0.047211,-0.124393,0.649298,0.039887,-0.141479,0.343700,-0.013844,-0.153722,0.031275,0.040403,-0.009024,0.827131,0.062904,0.131556,1.071077,0.062322,0.175137,0.892050,0.110912,0.185312,0.714544,0.053679,-0.149394,1.071917,0.068512,-0.181976,0.891249,0.121687,-0.181645,0.714839
0.045107,-0.008876,0.783225,0.045552,0.108501,0.650935,0.031520,0.127209,0.345601,-0.026563,0.139706,0.033880,0.046920,-0.124394,0.649286,0.039677,-0.141523,0.343689,-0.013977,-0.153805,0.031252,0.040183,-0.009032,0.827127,0.062859,0.131551,1.071055,0.062264,0.175164,0.892036,0.110816,0.185341,0.714521,0.053519,-0.149395,1.071914,0.068275,-0.182043,0.891252,0.121373,-0.181799,0.714820
0.045133,-0.008844,0.783257,0.045608,0.108536,0.650969,0.031619,0.127208,0.345631,-0.026382,0.139693,0.033893,0.046879,-0.124360,0.649315,0.039695,-0.141526,0.343719,-0.013950,-0.153832,0.031281,0.040220,-0.008998,0.827160,0.063094,0.131584,1.071070,0.062469,0.175199,0.892052,0.110965,0.185362,0.714521,0.053582,-0.149356,1.071949,0.068241,-0.182036,0.891285,0.121234,-0.181865,0.714822
0.045103,-0.008824,0.783290,0.045615,0.108556,0.651002,0.031659,0.127200,0.345661,-0.026277,0.139681,0.033911,0.046783,-0.124340,0.649348,0.039678,-0.141527,0.343751,-0.013926,-0.153840,0.031306,0.040198,-0.008975,0.827195,0.063267,0.131612,1.071084,0.062609,0.175233,0.892066,0.111025,0.185396,0.714514,0.053578,-0.149321,1.071989,0.068140,-0.182039,0.891324,0.121041,-0.181944,0.714833
0.044961,-0.008827,0.783327,0.045525,0.108549,0.651036,0.031581,0.127179,0.345693,-0.026327,0.139670,0.033938,0.046577,-0.124348,0.649387,0.039590,-0.141524,0.343787,-0.013909,-0.153812,0.031322,0.040061,-0.008975,0.827233,0.063316,0.131630,1.071094,0.062620,0.175265,0.892080,0.110904,0.185456,0.714495,0.053436,-0.149297,1.072041,0.067907,-0.182063,0.891377,0.120739,-0.182051,0.714865
0.044848,-0.008847,0.783332,0.045477,0.108523,0.651035,0.031526,0.127140,0.345691,-0.026312,0.139653,0.033923,0.046388,-0.124374,0.649396,0.039509,-0.141556,0.343794,-0.013884,-0.153831,0.031310,0.039953,-0.008989,0.827237,0.063404,0.131640,1.071066,0.062666,0.175261,0.892049,0.110810,0.185443,0.714425,0.053307,-0.149279,1.072065,0.067650,-0.182048,0.891391,0.120351,-0.182096,0.714841
0.044751,-0.008874,0.783319,0.045450,0.108488,0.651016,0.031482,0.127091,0.345671,-0.026264,0.139634,0.033888,0.046207,-0.124410,0.649390,0.039431,-0.141605,0.343787,-0.013856,-0.153873,0.031284,0.039860,-0.009009,0.827226,0.063512,0.131647,1.071019,0.062730,0.175238,0.891995,0.110730,0.185395,0.714332,0.053184,-0.149264,1.072075,0.067382,-0.182014,0.891387,0.119920,-0.182110,0.714789
0.044695,-0.008864,0.783355,0.045433,0.108491,0.651045,0.031426,0.127091,0.345701,-0.026285,0.139660,0.033912,0.046075,-0.124408,0.649430,0.039382,-0.141588,0.343825,-0.013843,-0.153825,0.031309,0.039814,-0.008994,0.827262,0.063671,0.131672,1.071029,0.062835,0.175278,0.892010,0.110642,0.185459,0.714296,0.053138,-0.149230,1.072121,0.067237,-0.181923,0.891415,0.119685,-0.182016,0.714791
0.044603,-0.008827,0.783369,0.045378,0.108522,0.651054,0.031334,0.127120,0.345711,-0.026330,0.139718,0.033914,0.045904,-0.124377,0.649449,0.039291,-0.141539,0.343841,-0.013857,-0.153742,0.031310,0.039732,-0.008951,0.827277,0.063799,0.131728,1.071017,0.062913,0.175335,0.891998,0.110510,0.185548,0.714230,0.053066,-0.149167,1.072148,0.067068,-0.181793,0.891422,0.119421,-0.181888,0.714770
0.044437,-0.008734,0.783341,0.045247,0.108609,0.651022,0.031169,0.127207,0.345680,-0.026425,0.139844,0.033871,0.045653,-0.124291,0.649425,0.039116,-0.141424,0.343814,-0.013923,-0.153591,0.031263,0.039577,-0.008854,0.827251,0.063865,0.131843,1.070958,0.062937,0.175425,0.891933,0.110290,0.185685,0.714104,0.052939,-0.149044,1.072135,0.066849,-0.181585,0.891386,0.119099,-0.181693,0.714704
0.044161,-0.008829,0.783327,0.044988,0.108510,0.651004,0.030891,0.127117,0.345662,-0.026552,0.139813,0.033827,0.045310,-0.124390,0.649413,0.038828,-0.141495,0.343800,-0.014106,-0.153632,0.031229,0.039312,-0.008945,0.827238,0.063825,0.131785,1.070903,0.062837,0.175346,0.891874,0.109984,0.185612,0.713990,0.052721,-0.149096,1.072142,0.066512,-0.181552,0.891368,0.118639,-0.181665,0.714650
