body_0_w,body_0_x,body_0_y,body_0_z,body_1_w,body_1_x,body_1_y,body_1_z,body_2_w,body_2_x,body_2_y,body_2_z,body_3_w,body_3_x,body_3_y,body_3_z,body_4_w,body_4_x,body_4_y,body_4_z,body_5_w,body_5_x,body_5_y,body_5_z,body_6_w,body_6_x,body_6_y,body_6_z,body_7_w,body_7_x,body_7_y,body_7_z,body_8_w,body_8_x,body_8_y,body_8_z,body_9_w,body_9_x,body_9_y,body_9_z,body_10_w,body_10_x,body_10_y,body_10_z,body_11_w,body_11_x,body_11_y,body_11_z,body_12_w,body_12_x,body_12_y,body_12_z,body_13_w,body_13_x,body_13_y,body_13_z
0.994142,0.023567,0.101425,0.028975,0.969878,0.066131,-0.232792,0.027772,0.985961,0.008066,0.122522,0.113153,0.993581,0.004788,0.015772,0.111919,0.962544,-0.053721,-0.265698,-0.005262,0.986793,-0.017329,0.148461,-0.062440,0.998244,0.001532,-0.000444,-0.059209,0.937271,-0.008972,0.348444,0.005447,0.987907,0.117086,0.066550,-0.076823,0.714366,0.272566,0.600318,-0.234536,0.714798,0.287551,0.582254,-0.259537,0.989952,-0.099443,0.032785,0.095036,0.720544,-0.302686,0.529756,0.329479,0.725022,-0.322197,0.483425,0.369910
0.993170,0.024519,0.110352,0.028902,0.966687,0.067870,-0.245292,0.027253,0.985225,0.006662,0.128352,0.113198,0.993551,0.005218,0.016801,0.112009,0.958817,-0.053819,-0.278761,-0.008107,0.986083,-0.017055,0.153252,-0.062161,0.998264,0.001708,0.000179,-0.058881,0.932998,-0.009069,0.359738,0.004634,0.988147,0.115811,0.060248,-0.080771,0.713995,0.277177,0.597198,-0.238199,0.716976,0.290286,0.577987,-0.260020,0.989928,-0.098708,0.027366,0.097722,0.721070,-0.306369,0.524999,0.332525,0.726593,-0.326000,0.476352,0.372659
0.992083,0.025472,0.119552,0.028813,0.963223,0.069632,-0.258147,0.026692,0.984420,0.005170,0.134457,0.113192,0.993526,0.005630,0.017798,0.112062,0.954816,-0.053866,-0.292065,-0.011092,0.985316,-0.016791,0.158200,-0.061995,0.998276,0.001836,0.000817,-0.058660,0.928720,-0.009102,0.370649,0.003965,0.988362,0.114670,0.053443,-0.084472,0.713835,0.281983,0.593818,-0.241464,0.719351,0.293405,0.573329,-0.260273,0.989893,-0.097810,0.021511,0.100407,0.721422,-0.310349,0.520343,0.335376,0.727936,-0.329835,0.469556,0.375280
0.990837,0.026427,0.129303,0.028693,0.959357,0.071475,-0.271743,0.026087,0.983499,0.003525,0.141111,0.113157,0.993502,0.006035,0.018725,0.112100,0.950432,-0.053806,-0.305909,-0.014266,0.984469,-0.016489,0.163453,-0.061904,0.998284,0.001946,0.001472,-0.058515,0.924587,-0.008991,0.380848,0.003570,0.988546,0.113946,0.045642,-0.087807,0.714047,0.287314,0.589958,-0.244001,0.722038,0.297442,0.567913,-0.260123,0.989849,-0.096646,0.014792,0.103146,0.721430,-0.314987,0.515912,0.337871,0.728841,-0.333838,0.463358,0.377680
0.989454,0.027334,0.139319,0.028703,0.955032,0.073517,-0.286096,0.025650,0.982450,0.001883,0.148265,0.113167,0.993477,0.006530,0.019390,0.112181,0.945593,-0.053658,-0.320421,-0.017485,0.983486,-0.016088,0.169306,-0.061899,0.998287,0.001913,0.002025,-0.058449,0.920397,-0.008837,0.390872,0.003288,0.988657,0.113560,0.037210,-0.090974,0.714505,0.293166,0.585510,-0.246405,0.724960,0.301917,0.561794,-0.260127,0.989766,-0.095344,0.007463,0.105909,0.721385,-0.319957,0.511631,0.339802,0.729729,-0.337396,0.457901,0.379454
0.987946,0.028215,0.149459,0.028776,0.950351,0.075627,-0.300789,0.025289,0.981307,0.000221,0.155666,0.113160,0.993455,0.007043,0.019923,0.112256,0.940394,-0.053466,-0.335213,-0.020774,0.982406,-0.015663,0.175460,-0.062029,0.998282,0.001765,0.002531,-0.058512,0.916125,-0.008670,0.400786,0.003065,0.988698,0.113288,0.028453,-0.093984,0.715098,0.299225,0.580747,-0.248660,0.728016,0.306540,0.555295,-0.260141,0.989634,-0.093940,-0.000178,0.108626,0.721341,-0.325057,0.507413,0.341375,0.730641,-0.340705,0.452807,0.380854
0.986255,0.028880,0.160129,0.028748,0.945175,0.077896,-0.316147,0.025049,0.980027,-0.001380,0.163563,0.113105,0.993449,0.007606,0.019900,0.112274,0.934629,-0.053079,-0.350812,-0.024133,0.981258,-0.015029,0.181752,-0.062230,0.998273,0.001615,0.002676,-0.058660,0.911700,-0.008585,0.410757,0.002800,0.988568,0.113814,0.019737,-0.096903,0.716177,0.305601,0.575154,-0.250790,0.731769,0.311831,0.547238,-0.260398,0.989419,-0.092738,-0.008227,0.111279,0.721550,-0.330224,0.503521,0.341737,0.732569,-0.342623,0.448543,0.380476
0.984416,0.029510,0.170969,0.028707,0.939660,0.080186,-0.331649,0.024861,0.978663,-0.003059,0.171519,0.113095,0.993441,0.008083,0.019619,0.112362,0.928510,-0.052630,-0.366525,-0.027551,0.980027,-0.014388,0.188227,-0.062538,0.998258,0.001397,0.002830,-0.058914,0.907098,-0.008579,0.420825,0.002450,0.988345,0.114477,0.010960,-0.099747,0.717342,0.312141,0.569164,-0.253062,0.735718,0.317163,0.538645,-0.260744,0.989135,-0.091613,-0.016359,0.113801,0.721960,-0.335293,0.499571,0.341734,0.735052,-0.344005,0.444227,0.379502
0.982391,0.030073,0.182164,0.028645,0.933703,0.082589,-0.347510,0.024785,0.977189,-0.004861,0.179599,0.113233,0.993423,0.008428,0.018820,0.112628,0.921939,-0.052045,-0.382569,-0.031009,0.978677,-0.013677,0.195064,-0.062890,0.998240,0.001135,0.002992,-0.059221,0.902245,-0.008721,0.431131,0.001927,0.987994,0.115513,0.002078,-0.102569,0.718644,0.319116,0.562412,-0.255752,0.740035,0.322715,0.529039,-0.261384,0.988771,-0.090710,-0.024649,0.116174,0.722711,-0.340248,0.495523,0.341140,0.738574,-0.344384,0.439818,0.377450
0.980149,0.030597,0.193803,0.028502,0.927305,0.085129,-0.363653,0.024789,0.975618,-0.006781,0.187710,0.113527,0.993387,0.008694,0.017811,0.113089,0.914891,-0.051352,-0.398926,-0.034566,0.977284,-0.012966,0.201838,-0.063316,0.998218,0.000849,0.002911,-0.059595,0.897104,-0.009132,0.441723,0.001142,0.987534,0.116772,-0.006511,-0.105347,0.719799,0.326181,0.555593,-0.258481,0.744550,0.328219,0.519090,-0.261656,0.988308,-0.090174,-0.033145,0.118392,0.723697,-0.345318,0.491234,0.340157,0.742927,-0.344279,0.434957,0.374626
0.977722,0.031101,0.205648,0.028317,0.920537,0.087674,-0.379877,0.024866,0.973966,-0.008843,0.195827,0.113859,0.993343,0.008840,0.016696,0.113638,0.907442,-0.050625,-0.415364,-0.038180,0.975841,-0.012296,0.208577,-0.063871,0.998189,0.000489,0.002711,-0.060087,0.891751,-0.009695,0.452423,0.000238,0.987005,0.118078,-0.014965,-0.107953,0.720902,0.333179,0.548737,-0.261112,0.749177,0.333543,0.508945,-0.261644,0.987764,-0.089797,-0.041745,0.120486,0.724818,-0.350397,0.486818,0.338923,0.747714,-0.343882,0.429822,0.371378
0.975003,0.031441,0.218148,0.028145,0.913392,0.090207,-0.396161,0.025171,0.972365,-0.011047,0.203258,0.114324,0.993282,0.008782,0.015235,0.114379,0.899695,-0.049735,-0.431678,-0.041591,0.974412,-0.011282,0.215021,-0.064505,0.998151,0.000313,0.002406,-0.060736,0.885880,-0.010563,0.463793,-0.000887,0.986393,0.119530,-0.023241,-0.110461,0.722102,0.340077,0.541637,-0.263716,0.753941,0.338782,0.498535,-0.261271,0.987088,-0.089824,-0.050688,0.122554,0.726642,-0.355241,0.481945,0.336933,0.753696,-0.343147,0.424081,0.366536
0.972095,0.031751,0.230740,0.027975,0.905927,0.092628,-0.412387,0.025573,0.970759,-0.013328,0.210467,0.114689,0.993220,0.008686,0.014008,0.115071,0.891630,-0.048829,-0.447874,-0.044960,0.973006,-0.010275,0.221130,-0.065233,0.998106,0.000055,0.002017,-0.061487,0.879771,-0.011543,0.475254,-0.002036,0.985767,0.120748,-0.031404,-0.112681,0.723508,0.346451,0.534545,-0.266027,0.758886,0.343440,0.488210,-0.260371,0.986335,-0.089825,-0.059681,0.124555,0.728598,-0.359912,0.477058,0.334699,0.760025,-0.342075,0.418321,0.361046
