body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
0.011253,-0.254091,0.007586,0.003167,0.505161,-0.044739,0.094612,-0.253552,0.011805,-0.030761,-0.038130,0.006535,0.025677,0.474549,0.006542,-0.036151,-0.227675,0.016905,-0.001652,0.008072,0.007838,-0.026785,-0.252353,0.018808,-0.016115,-0.094661,-0.010863,-0.070795,-0.107996,0.108215,-0.198213,0.051682,0.158471,0.053092,-0.012201,0.011434,0.027747,-0.007110,0.136826,0.123151,0.083943,-0.073632
0.015046,-0.271515,0.006423,0.008329,0.524323,-0.042463,0.103550,-0.250234,0.014951,-0.027734,-0.028701,0.009690,0.029807,0.497374,0.004881,-0.042484,-0.222242,0.018667,-0.002485,0.011724,0.009519,-0.013504,-0.262489,0.018006,0.006045,-0.052249,-0.019609,-0.096147,-0.097492,0.107562,-0.186631,0.041742,0.141952,0.046510,-0.007691,-0.000495,0.033485,-0.007990,0.117917,0.111115,0.079231,-0.070801
0.017813,-0.289771,0.005473,0.010120,0.536437,-0.044712,0.107922,-0.251398,0.013684,-0.027346,-0.019652,0.008367,0.036162,0.508488,0.011955,-0.037460,-0.211888,0.026065,0.007370,0.013106,0.017061,-0.003185,-0.280940,0.018494,0.020340,-0.019585,-0.028280,-0.118783,-0.089443,0.107693,-0.177576,0.050027,0.141397,0.047580,-0.022913,-0.004845,0.045478,-0.027566,0.100789,0.108689,0.068248,-0.074604
0.016436,-0.308919,0.006373,0.009802,0.543248,-0.040533,0.119021,-0.260948,0.015121,-0.018138,-0.014195,0.009692,0.037602,0.510045,0.019114,-0.040991,-0.226890,0.034806,0.009024,0.017525,0.024941,0.008438,-0.310976,0.020195,0.051707,0.001524,-0.030035,-0.131988,-0.099371,0.112921,-0.148587,0.014430,0.148814,0.038063,-0.026827,-0.017000,0.070505,-0.046458,0.073702,0.129696,0.054419,-0.084717
0.013718,-0.326342,0.006258,0.008516,0.549889,-0.036665,0.126664,-0.271854,0.017387,-0.009916,-0.010607,0.011877,0.037230,0.513519,0.023837,-0.047100,-0.246050,0.041377,0.009106,0.019173,0.030569,0.017325,-0.338827,0.020730,0.081487,0.026427,-0.032659,-0.143535,-0.102725,0.121738,-0.129092,-0.017703,0.166560,0.020556,-0.019031,-0.034387,0.088597,-0.053925,0.039039,0.150134,0.049587,-0.107040
0.012506,-0.339423,0.002320,0.007232,0.561504,-0.039777,0.120748,-0.277058,0.018914,-0.012414,-0.007141,0.013492,0.038160,0.530391,0.023603,-0.049682,-0.248175,0.042277,0.014366,0.012250,0.031348,0.019439,-0.350731,0.017602,0.091041,0.070548,-0.043857,-0.161167,-0.074965,0.132698,-0.148866,0.000805,0.196727,-0.002340,0.000865,-0.054440,0.079694,-0.039382,-0.000853,0.146054,0.065622,-0.147349
0.013104,-0.351584,-0.001465,0.006344,0.572258,-0.045375,0.111848,-0.280018,0.019550,-0.017806,-0.004066,0.014252,0.039865,0.544577,0.021212,-0.048824,-0.254724,0.039722,0.023572,0.002468,0.028618,0.016122,-0.355955,0.013023,0.092310,0.114417,-0.055837,-0.197803,-0.056699,0.139229,-0.174921,0.005405,0.231670,-0.025701,0.030947,-0.074740,0.069303,-0.013986,-0.046340,0.141517,0.086215,-0.196155
0.015201,-0.356746,-0.003184,0.005928,0.576789,-0.050293,0.104408,-0.279184,0.019427,-0.023441,-0.002867,0.014361,0.041480,0.548984,0.018030,-0.044820,-0.262439,0.035048,0.032164,-0.005281,0.023763,0.008996,-0.351891,0.009191,0.084696,0.136150,-0.062261,-0.234548,-0.057622,0.138722,-0.193745,-0.006400,0.254456,-0.037569,0.056111,-0.085484,0.062847,0.009430,-0.075038,0.139057,0.101082,-0.229315
0.012357,-0.377195,0.001034,-0.001606,0.591399,-0.053590,0.099222,-0.279963,0.018121,-0.033493,0.001184,0.013202,0.041702,0.567636,0.027178,-0.043849,-0.266185,0.043080,0.049052,-0.011289,0.031399,0.012529,-0.371539,0.009798,0.088521,0.162007,-0.069230,-0.262568,-0.057994,0.133885,-0.211350,-0.014729,0.254902,-0.049779,0.091401,-0.102978,0.059901,0.041176,-0.113818,0.128469,0.135274,-0.282572
0.007472,-0.400308,0.007263,-0.011864,0.614005,-0.055818,0.099027,-0.283635,0.015414,-0.041421,0.004071,0.010636,0.039949,0.596007,0.037860,-0.043862,-0.266503,0.051796,0.063554,-0.010710,0.039656,0.021758,-0.398610,0.013253,0.096529,0.184613,-0.074326,-0.285677,-0.062128,0.129071,-0.226855,-0.024047,0.242223,-0.058474,0.120746,-0.119130,0.059692,0.067098,-0.149794,0.117241,0.165609,-0.326509
0.003542,-0.413457,0.011655,-0.020431,0.642503,-0.057669,0.106540,-0.291484,0.011170,-0.040671,0.001789,0.006568,0.035244,0.629599,0.039350,-0.042962,-0.263922,0.049137,0.064725,0.001310,0.036609,0.031733,-0.416812,0.017833,0.101427,0.196609,-0.075211,-0.307598,-0.074321,0.128710,-0.239265,-0.038625,0.225683,-0.059941,0.128082,-0.125803,0.061305,0.072995,-0.170113,0.112664,0.168420,-0.332006
-0.002933,-0.430976,0.022974,-0.036041,0.662180,-0.059119,0.113976,-0.307849,0.002985,-0.042717,-0.011730,-0.001363,0.027648,0.659887,0.047643,-0.044365,-0.269472,0.052551,0.064286,0.008202,0.039498,0.050206,-0.435018,0.023002,0.108677,0.226848,-0.080255,-0.326490,-0.070305,0.115102,-0.242808,-0.030718,0.183609,-0.061268,0.145494,-0.137296,0.072229,0.083868,-0.182389,0.105146,0.183204,-0.329079
