body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
0.045835,-0.009318,0.783307,0.046344,0.108029,0.650993,0.032453,0.127244,0.345685,-0.026067,0.140074,0.034062,0.047924,-0.124865,0.649402,0.040209,-0.141584,0.343791,-0.013713,-0.153482,0.031391,0.040830,-0.009475,0.827200,0.063210,0.130952,1.071260,0.077876,0.220269,0.910770,0.221648,0.178525,0.811421,0.054469,-0.149989,1.071973,0.079716,-0.233293,0.909667,0.218542,-0.175078,0.811431
0.045903,-0.009287,0.783284,0.046397,0.108066,0.650974,0.032564,0.127238,0.345662,-0.025923,0.140021,0.034031,0.048004,-0.124828,0.649374,0.040239,-0.141595,0.343767,-0.013702,-0.153551,0.031372,0.040899,-0.009446,0.827178,0.063261,0.131023,1.071213,0.077492,0.221299,0.911220,0.221584,0.179404,0.812624,0.054553,-0.149919,1.071971,0.079529,-0.233577,0.909804,0.218462,-0.174212,0.812637
0.046031,-0.009225,0.783256,0.046518,0.108133,0.650951,0.032729,0.127257,0.345634,-0.025730,0.139991,0.033996,0.048137,-0.124761,0.649341,0.040327,-0.141574,0.343738,-0.013658,-0.153579,0.031353,0.041028,-0.009386,0.827150,0.063389,0.131121,1.071162,0.077214,0.222334,0.911665,0.221596,0.180402,0.813706,0.054708,-0.149823,1.071960,0.079477,-0.233762,0.909909,0.218457,-0.173227,0.813728
0.045950,-0.009020,0.783215,0.046410,0.108341,0.650912,0.032632,0.127417,0.345591,-0.025821,0.140097,0.033951,0.048077,-0.124553,0.649298,0.040287,-0.141398,0.343696,-0.013685,-0.153441,0.031309,0.040949,-0.009182,0.827109,0.063325,0.131339,1.071110,0.076760,0.223488,0.912117,0.221407,0.181653,0.814670,0.054686,-0.149607,1.071923,0.079315,-0.233734,0.909949,0.218275,-0.171987,0.814677
0.045910,-0.008858,0.783190,0.046348,0.108504,0.650888,0.032557,0.127535,0.345565,-0.025881,0.140173,0.033920,0.048047,-0.124389,0.649272,0.040279,-0.141264,0.343671,-0.013667,-0.153340,0.031281,0.040911,-0.009021,0.827084,0.063319,0.131516,1.071073,0.076403,0.224584,0.912586,0.221292,0.182956,0.815538,0.054705,-0.149431,1.071903,0.079256,-0.233665,0.909974,0.218151,-0.170694,0.815539
0.045951,-0.008784,0.783201,0.046379,0.108576,0.650897,0.032527,0.127564,0.345575,-0.025878,0.140185,0.033923,0.048076,-0.124318,0.649284,0.040333,-0.141219,0.343684,-0.013562,-0.153323,0.031286,0.040956,-0.008945,0.827096,0.063427,0.131609,1.071067,0.076201,0.225582,0.913088,0.221307,0.184259,0.816327,0.054797,-0.149338,1.071923,0.079315,-0.233589,0.910000,0.218111,-0.169400,0.816338
0.045935,-0.008829,0.783200,0.046350,0.108532,0.650897,0.032443,0.127469,0.345574,-0.025965,0.140049,0.033921,0.048047,-0.124361,0.649282,0.040349,-0.141294,0.343682,-0.013524,-0.153429,0.031281,0.040946,-0.008990,0.827095,0.063495,0.131571,1.071055,0.075982,0.226449,0.913594,0.221284,0.185555,0.817005,0.054849,-0.149375,1.071924,0.079371,-0.233529,0.909953,0.218037,-0.168111,0.817013
0.045890,-0.008933,0.783194,0.046291,0.108431,0.650894,0.032331,0.127309,0.345569,-0.026098,0.139838,0.033917,0.047989,-0.124463,0.649273,0.040345,-0.141430,0.343674,-0.013520,-0.153598,0.031272,0.040907,-0.009094,0.827090,0.063543,0.131468,1.071040,0.075764,0.227250,0.914105,0.221243,0.186905,0.817585,0.054880,-0.149478,1.071917,0.079439,-0.233417,0.909842,0.217952,-0.166768,0.817586
0.045788,-0.009013,0.783175,0.046190,0.108351,0.650875,0.032176,0.127192,0.345551,-0.026162,0.139722,0.033881,0.047836,-0.124542,0.649252,0.040262,-0.141533,0.343654,-0.013575,-0.153718,0.031246,0.040816,-0.009173,0.827072,0.063529,0.131393,1.071012,0.075530,0.228071,0.914608,0.221175,0.188368,0.818081,0.054818,-0.149550,1.071903,0.079445,-0.233168,0.909674,0.217809,-0.165311,0.818084
0.045675,-0.009026,0.783177,0.046084,0.108339,0.650878,0.032032,0.127141,0.345552,-0.026243,0.139661,0.033869,0.047668,-0.124555,0.649253,0.040172,-0.141571,0.343654,-0.013639,-0.153773,0.031242,0.040714,-0.009184,0.827075,0.063531,0.131382,1.071005,0.075316,0.228951,0.915138,0.221101,0.189985,0.818507,0.054754,-0.149559,1.071907,0.079446,-0.232746,0.909468,0.217646,-0.163697,0.818509
0.045541,-0.008904,0.783219,0.045968,0.108462,0.650920,0.031910,0.127222,0.345591,-0.026358,0.139715,0.033906,0.047471,-0.124433,0.649293,0.040063,-0.141480,0.343694,-0.013725,-0.153692,0.031278,0.040591,-0.009060,0.827119,0.063565,0.131498,1.071037,0.075125,0.229954,0.915711,0.221012,0.191803,0.818876,0.054686,-0.149440,1.071946,0.079412,-0.232095,0.909243,0.217431,-0.161881,0.818871
0.045340,-0.008869,0.783229,0.045778,0.108501,0.650934,0.031729,0.127232,0.345603,-0.026463,0.139721,0.033902,0.047210,-0.124394,0.649298,0.039887,-0.141480,0.343699,-0.013844,-0.153722,0.031274,0.040403,-0.009025,0.827130,0.063527,0.131533,1.071034,0.074849,0.230867,0.916248,0.220815,0.193617,0.819139,0.054562,-0.149402,1.071957,0.079318,-0.231439,0.908948,0.217138,-0.160068,0.819133
0.045107,-0.008876,0.783225,0.045552,0.108501,0.650935,0.031520,0.127210,0.345602,-0.026563,0.139706,0.033880,0.046920,-0.124394,0.649287,0.039677,-0.141523,0.343689,-0.013977,-0.153805,0.031252,0.040183,-0.009032,0.827128,0.063455,0.131529,1.071015,0.074520,0.231732,0.916770,0.220542,0.195457,0.819324,0.054410,-0.149403,1.071955,0.079183,-0.230746,0.908603,0.216786,-0.158230,0.819317
