joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-1.542924,-1.596128,-0.116581,0.207283,-0.130032,-0.174417,0.149368,-0.014248,0.521560,1.301881,1.285521,-1.377539,-1.657496,-0.412025,-0.344234,0.892249,-0.192310,0.028628,0.018416,-0.594259,0.466013,0.767326,1.585069,-0.528377,0.527338,-0.375473,-0.363515,0.017068,0.017068
-1.521278,-1.574632,-0.116021,0.205372,-0.129638,-0.173900,0.151389,-0.015508,0.521500,1.282579,1.267220,-1.357408,-1.603632,-0.405545,-0.338547,0.885932,-0.221415,0.027048,0.019782,-0.589612,0.464597,0.761400,1.521453,-0.528273,0.527403,-0.370928,-0.360687,0.018793,0.018793
-1.499260,-1.552471,-0.115243,0.203042,-0.129299,-0.172749,0.152987,-0.016969,0.521635,1.262707,1.248334,-1.338868,-1.555900,-0.399052,-0.332613,0.879810,-0.246681,0.025264,0.021149,-0.584495,0.467300,0.754598,1.462527,-0.527652,0.526891,-0.365323,-0.356099,0.020433,0.020433
-1.477058,-1.529978,-0.114356,0.200502,-0.128987,-0.171280,0.154372,-0.018530,0.521867,1.242550,1.229157,-1.321620,-1.520129,-0.392554,-0.326555,0.873689,-0.264883,0.023380,0.022517,-0.579255,0.473985,0.747172,1.418997,-0.526383,0.525684,-0.358253,-0.349535,0.021939,0.021939
-1.453551,-1.505820,-0.112399,0.198081,-0.128657,-0.168684,0.155333,-0.019956,0.521952,1.221903,1.209259,-1.305252,-1.499229,-0.385814,-0.320234,0.867325,-0.274371,0.021437,0.024146,-0.574287,0.483402,0.739454,1.396227,-0.524359,0.523696,-0.349427,-0.340955,0.023289,0.023289
-1.429476,-1.481100,-0.110372,0.195615,-0.128491,-0.165789,0.156300,-0.021531,0.522074,1.201205,1.189351,-1.289565,-1.492527,-0.379076,-0.314021,0.860580,-0.275366,0.019508,0.025800,-0.569882,0.494040,0.731676,1.393286,-0.521522,0.520883,-0.338793,-0.330451,0.024478,0.024478
-1.404267,-1.455258,-0.108205,0.193062,-0.128655,-0.162294,0.157277,-0.023402,0.522274,1.180406,1.169422,-1.274537,-1.496048,-0.372340,-0.308025,0.853406,-0.270137,0.017609,0.027505,-0.566220,0.505027,0.723979,1.404201,-0.517873,0.517253,-0.326507,-0.318224,0.025514,0.025514
-1.378488,-1.429141,-0.105700,0.190684,-0.128686,-0.158300,0.158188,-0.025370,0.522577,1.159596,1.149638,-1.260091,-1.503511,-0.365400,-0.302352,0.845739,-0.262765,0.015755,0.028951,-0.563449,0.516302,0.716537,1.420104,-0.513481,0.512879,-0.312820,-0.304580,0.026398,0.026398
-1.352423,-1.402888,-0.103026,0.188394,-0.128650,-0.154055,0.159066,-0.027387,0.522932,1.138780,1.129927,-1.245972,-1.508293,-0.358359,-0.296840,0.837440,-0.257897,0.013922,0.030267,-0.561715,0.528102,0.709601,1.432003,-0.508478,0.507901,-0.297983,-0.289889,0.027114,0.027114
-1.324635,-1.374666,-0.100021,0.185984,-0.128912,-0.149206,0.159902,-0.029446,0.523152,1.116967,1.109700,-1.231872,-1.506103,-0.350946,-0.291485,0.828373,-0.258669,0.011971,0.031373,-0.561095,0.540449,0.703399,1.434160,-0.503039,0.502503,-0.282242,-0.274525,0.027616,0.027616
