joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.999050,1.074750,0.054650,-0.013950,0.120475,0.140825,-0.006550,-0.072400,-0.838825,-0.812225,-0.899750,1.236011,1.229507,0.151350,0.076800,-0.167666,-0.149345,-0.125000,-0.002625,0.601437,-0.119604,-1.113695,-1.563200,0.778363,-0.778363,0.529749,0.529749,-0.161736,-0.161736
1.017925,1.111075,0.078225,0.000800,0.122800,0.132525,0.002200,-0.085525,-0.815825,-0.753575,-0.870900,1.260850,1.282154,0.109300,0.027825,-0.212349,-0.169211,-0.116900,0.001000,0.580764,-0.100975,-1.121759,-1.554287,0.792787,-0.792787,0.521937,0.521937,-0.170889,-0.170889
1.030925,1.128675,0.103075,0.014250,0.123950,0.117650,0.011425,-0.096025,-0.787300,-0.677025,-0.810700,1.272571,1.320145,0.056150,-0.024350,-0.257315,-0.178302,-0.099050,0.002650,0.560478,-0.091556,-1.114538,-1.523818,0.789993,-0.789993,0.511373,0.511373,-0.174450,-0.174450
1.031575,1.118700,0.116800,0.019675,0.123350,0.103600,0.016475,-0.098600,-0.767500,-0.620875,-0.749300,1.271174,1.339364,0.018500,-0.053650,-0.298751,-0.175524,-0.080350,0.001550,0.544643,-0.091610,-1.095726,-1.475334,0.771641,-0.771641,0.497229,0.497229,-0.172845,-0.172845
0.994700,1.073275,0.114725,0.029225,0.116575,0.088075,0.020650,-0.092250,-0.759700,-0.536850,-0.667550,1.256780,1.337503,-0.020425,-0.086575,-0.332738,-0.161914,-0.053850,-0.008450,0.535989,-0.100987,-1.070499,-1.415150,0.739905,-0.739905,0.477548,0.477548,-0.167356,-0.167356
0.940750,1.016950,0.106200,0.036975,0.108050,0.073850,0.019025,-0.081225,-0.760250,-0.451200,-0.587475,1.229241,1.313988,-0.055875,-0.115450,-0.356047,-0.139822,-0.031025,-0.018575,0.534833,-0.119034,-1.043490,-1.349613,0.697889,-0.697889,0.450616,0.450616,-0.159176,-0.159176
0.890175,0.974200,0.100725,0.037000,0.102150,0.063725,0.006600,-0.069825,-0.765475,-0.390125,-0.531050,1.188312,1.269768,-0.083150,-0.132625,-0.366739,-0.111860,-0.023275,-0.019900,0.538944,-0.144456,-1.017364,-1.282930,0.649907,-0.649907,0.416384,0.416384,-0.148945,-0.148945
0.814375,0.905900,0.094900,0.036675,0.091325,0.049525,-0.012500,-0.060000,-0.758250,-0.294600,-0.446550,1.134204,1.207218,-0.122625,-0.148675,-0.364381,-0.080155,-0.016925,-0.022450,0.544414,-0.175263,-0.992562,-1.216676,0.601220,-0.601220,0.377168,0.377168,-0.136966,-0.136966
0.751250,0.846250,0.091600,0.036150,0.081000,0.038325,-0.028650,-0.056625,-0.742225,-0.212425,-0.376275,1.068105,1.130141,-0.154500,-0.155525,-0.349938,-0.046219,-0.015175,-0.025025,0.547135,-0.208852,-0.967988,-1.150963,0.557159,-0.557159,0.337282,0.337282,-0.123760,-0.123760
0.678975,0.787450,0.060050,0.040775,0.073700,0.031725,-0.054225,-0.061875,-0.721975,-0.136275,-0.304025,0.992418,1.043617,-0.172750,-0.152050,-0.325502,-0.011281,-0.025250,-0.029225,0.544231,-0.242207,-0.942088,-1.086143,0.521987,-0.521987,0.301782,0.301782,-0.110406,-0.110406
